"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,3.94879251137628
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5.35129664164633
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5.21077281385817
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,4.85182160105069
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6.43594820852695
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,4.7295691672685
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,3.86156532548582
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,4.99851696958973
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5.24318349183531
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,4.91961121588377
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5.481707139945
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,5.28054319266589
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5.57448147329562
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6.16620730930339
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,4.43156333860067
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5.14464660148292
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5.24115603572142
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,4.88555276149013
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6.14905327238422
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5.12096553214548
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,4.78837872902627
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,3.98216010242074
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6.12818140410174
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5.04674994037381
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5.18800552146575
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5.24877734787877
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6.13254961334243
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,5.71010115469931
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,5.51469984114971
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,5.78257104646253
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5.39917824726255
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,4.62925367663973
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,4.86789572661744
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,4.66609682498219
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,4.86373725489835
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6.28998960811918
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5.38243484866057
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,4.71554576166509
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5.27132985205677
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,4.85450709592166
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6.26696074099601
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,4.93927707715949
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6.2629155057638
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,5.8122981251774
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6.07131668835169
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,5.80040824256331
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,5.98596583752228
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,4.86328973214156
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,5.82694734783217
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,4.74372600199161
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,4.91673749269909
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5.40576580840081
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,4.73685138169635
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5.7567886350397
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5.25328793519062
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7.11915282884163
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,4.79255441789166
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,4.58786643086687
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5.04538686127842
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,4.91996331382877
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6.08904182676096
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6.38331040657621
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,4.97104181331461
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5.04006868951699
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5.42048498852097
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5.08532739028875
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,4.8839902124819
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5.03828813586207
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,4.68108823681919
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6.07918818195881
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5.08417268080578
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6.24216360198114
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,4.90635199375368
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,4.85759746617269
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5.25830720011979
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,5.66311457665752
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6.3906190737371
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6.04555044336045
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4.13160382031121
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5.33559762523689
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5.09361014137243
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,4.66528878553046
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,4.68803003109055
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5.34767819416781
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,4.95207425446274
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5.28800340945853
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6.09104256546479
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5.07150794521839
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,3.72579589896401
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,5.97013813836417
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,4.6501342644857
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5.22175905907603
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5.08945748866453
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,4.66531534285624
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4.15087691823862
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6.27485648020523
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5.16826501976424
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,3.95536358684917
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6.19336190699803
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,5.76543785947189
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,5.99760877275405
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,4.43088696712156
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5.10759719042572
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,4.88724169286185
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,5.89166993164692
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5.03875220624449
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5.64019193874519
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,4.8150366230691
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,4.92384687616001
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5.18714415629706
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5.32093267557992
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,5.6431785214573
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5.42943032771569
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5.05639290051015
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5.38393510406987
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,4.7791288733814
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5.35520442396664
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,4.96541786554813
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6.14860672006034
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5.02074954487076
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,4.61005717453508
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,4.61879420799208
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,4.94642023667909
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,4.90906995540122
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,5.77377886989155
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,6.87389896162338
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4.11940040369119
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,6.78090516244067
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,4.89246835086297
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,4.82024343777837
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5.26726589113897
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6.18443163296855
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,6.97845022384861
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,6.88357770087963
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5.11038053140574
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,4.71504446397065
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7.37688476526449
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6.06617698866112
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6.33930406533073
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6.07234067734602
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5.0296450100974
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6.18648760694106
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5.27926383515829
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,4.83936586018503
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,4.51636382249085
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,4.9106254758353
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,4.98476948873958
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,5.53330278562332
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5.07745227088449
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5.33233309159497
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,5.878827019649
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4.0581766367624
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,5.73323264541687
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,5.90194388128097
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5.04909091031892
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,5.83252853980932
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5.01690945646593
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,6.76215811883397
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,5.99523585550661
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,5.88660999253095
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5.35265893272283
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6.04036667492297
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,5.96366823856239
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.36165710581254
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,5.98039020735918
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.19855367507452
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,5.84662097899565
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,4.68124365572006
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,5.98746202020422
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6.09301588039212
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7.08436622180055
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,6.76660090703937
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6.4814440398152
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,4.56257112157286
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,4.66175174218429
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6.06047137280692
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6.14479133884879
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,5.86149814548198
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,5.73605232246864
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5.19193987796035
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5.20450720421002
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,5.98953916151303
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,4.68185228726528
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5.00753445335489
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5.00950636879425
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,4.83955488957476
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,6.58546862058855
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,4.87189010716568
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4.19963661701897
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,4.93958280542685
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5.10218379094167
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5.16620709999568
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,6.99619749044222
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,3.67048388087342
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,7.91023700327132
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6.92957760019155
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.17107204926411
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,5.89245702103628
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.08203638655346
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5.01199448893912
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5.35159009013972
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5.1838348700063
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,5.84934478539295
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6.27473121457044
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,5.72002518432797
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,7.98178140144376
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,6.91163108829936
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6.04499422948081
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7.10367381058493
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5.33624641339239
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7.06989780724325
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,4.9552455058556
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,4.80850637796352
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6.27659534186998
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,5.81013302715459
