"age","fnlwgt","occupation","education_year","marital_status","race","gender","hours_per_week","income"
34,111985,"Craft-repair",9,"Married-civ-spouse","White","Male",45,0
19,365871,"Transport-moving",10,"Never-married","White","Male",32,0
48,44907,"Tech-support",13,"Divorced","White","Female",45,0
25,178025,"Exec-managerial",10,"Never-married","White","Male",9,0
17,256496,"unknown",6,"Never-married","White","Male",35,0
52,243616,"Craft-repair",3,"Separated","Black","Female",40,0
48,193451,"Machine-op-inspct",6,"Married-civ-spouse","White","Male",40,0
60,160062,"Farming-fishing",9,"Married-civ-spouse","White","Male",25,0
50,210217,"Sales",13,"Divorced","Black","Male",40,0
23,182342,"Craft-repair",10,"Never-married","White","Male",40,0
38,85566,"Sales",10,"Never-married","White","Male",65,0
42,183319,"Craft-repair",3,"Married-civ-spouse","White","Male",60,0
43,19914,"Exec-managerial",10,"Widowed","Amer-Indian-Eskimo","Female",15,0
31,127610,"Prof-specialty",13,"Married-civ-spouse","White","Female",40,1
21,143604,"Adm-clerical",10,"Never-married","White","Female",12,0
23,215443,"Adm-clerical",10,"Never-married","White","Male",15,0
27,150025,"Sales",9,"Never-married","White","Male",40,0
66,214469,"Adm-clerical",9,"Widowed","White","Female",13,0
38,308171,"Tech-support",10,"Separated","Black","Female",50,0
30,261319,"Transport-moving",4,"Married-civ-spouse","White","Male",40,0
18,387641,"unknown",10,"Never-married","White","Male",40,0
43,99185,"Prof-specialty",13,"Divorced","White","Female",40,0
58,365511,"Machine-op-inspct",10,"Divorced","Other","Male",40,0
29,30069,"Adm-clerical",10,"Never-married","White","Female",50,0
27,82393,"Transport-moving",9,"Married-civ-spouse","Asian-Pac-Islander","Male",40,1
71,108390,"unknown",10,"Married-civ-spouse","White","Male",20,0
33,207723,"Prof-specialty",14,"Never-married","Asian-Pac-Islander","Male",40,0
33,149184,"Prof-specialty",15,"Married-civ-spouse","White","Male",50,1
39,304001,"Craft-repair",10,"Divorced","White","Male",40,0
56,157786,"Transport-moving",9,"Married-civ-spouse","White","Male",48,1
31,217803,"Sales",9,"Divorced","White","Female",32,0
68,165017,"Prof-specialty",9,"Married-civ-spouse","White","Male",40,1
24,109053,"Other-service",9,"Never-married","White","Male",25,0
43,306440,"Prof-specialty",15,"Never-married","White","Male",66,0
33,127651,"Exec-managerial",13,"Married-civ-spouse","White","Male",55,1
33,216908,"unknown",6,"Never-married","White","Male",40,0
33,182714,"Exec-managerial",13,"Never-married","White","Female",40,0
52,145081,"Machine-op-inspct",4,"Never-married","Black","Female",40,0
19,190093,"unknown",8,"Never-married","Black","Male",40,0
42,386175,"Sales",10,"Divorced","White","Male",50,1
45,174426,"Craft-repair",9,"Married-civ-spouse","White","Male",40,0
45,306889,"Exec-managerial",13,"Married-civ-spouse","White","Female",40,1
26,31350,"Farming-fishing",7,"Never-married","White","Male",50,0
22,119742,"Sales",9,"Never-married","White","Female",40,0
41,428499,"Craft-repair",7,"Married-civ-spouse","White","Male",50,1
33,34572,"Sales",9,"Married-civ-spouse","White","Male",40,0
25,209286,"Craft-repair",10,"Married-civ-spouse","White","Male",40,0
33,166275,"Machine-op-inspct",9,"Never-married","White","Female",40,0
27,67187,"Adm-clerical",9,"Divorced","Amer-Indian-Eskimo","Female",33,0
25,470203,"Prof-specialty",13,"Never-married","White","Female",30,0
19,142219,"Adm-clerical",10,"Never-married","White","Female",30,0
54,32385,"unknown",9,"Divorced","White","Female",30,0
40,146653,"Adm-clerical",13,"Divorced","White","Female",20,0
46,274200,"Farming-fishing",9,"Divorced","White","Male",50,0
60,124987,"Sales",9,"Married-civ-spouse","White","Male",20,0
57,70720,"Other-service",9,"Married-civ-spouse","White","Male",78,0
20,210338,"Other-service",10,"Never-married","White","Female",15,0
41,557349,"Craft-repair",9,"Married-civ-spouse","White","Male",40,1
45,174426,"Prof-specialty",14,"Married-civ-spouse","White","Male",43,0
27,244315,"Craft-repair",9,"Divorced","Other","Male",40,0
28,113870,"Adm-clerical",9,"Never-married","White","Male",40,0
17,32124,"Other-service",5,"Never-married","Black","Male",9,0
36,149653,"Other-service",9,"Divorced","White","Female",40,0
49,55938,"Adm-clerical",13,"Married-civ-spouse","White","Male",40,1
28,285294,"Sales",13,"Married-civ-spouse","Black","Female",45,1
22,126945,"Tech-support",11,"Married-civ-spouse","White","Male",40,0
17,236091,"Other-service",6,"Never-married","White","Female",8,0
25,202480,"unknown",12,"Never-married","White","Male",45,0
41,160120,"Sales",16,"Married-civ-spouse","Asian-Pac-Islander","Male",40,1
37,217838,"Other-service",3,"Separated","White","Female",40,0
18,185522,"Sales",9,"Never-married","White","Female",33,0
18,137646,"Other-service",7,"Never-married","White","Female",15,0
44,182383,"Adm-clerical",10,"Married-civ-spouse","White","Female",35,0
41,444743,"Tech-support",9,"Divorced","White","Female",40,0
35,160120,"Adm-clerical",13,"Married-civ-spouse","Asian-Pac-Islander","Male",40,1
23,384651,"Handlers-cleaners",10,"Married-civ-spouse","White","Male",40,0
29,197932,"Handlers-cleaners",9,"Married-civ-spouse","White","Female",40,1
54,249352,"Craft-repair",13,"Married-civ-spouse","Black","Male",40,0
19,104830,"Transport-moving",4,"Never-married","White","Male",25,0
36,306646,"Exec-managerial",13,"Married-civ-spouse","White","Male",55,1
54,59840,"Handlers-cleaners",9,"Divorced","White","Male",45,0
22,258509,"Transport-moving",9,"Never-married","Black","Male",24,0
26,599057,"Exec-managerial",9,"Never-married","Black","Female",37,0
30,287986,"Handlers-cleaners",10,"Never-married","White","Male",40,0
29,144259,"Handlers-cleaners",13,"Married-civ-spouse","Black","Male",80,1
34,317219,"unknown",10,"Married-civ-spouse","White","Female",20,1
46,86220,"Sales",13,"Divorced","White","Female",40,0
38,36270,"Farming-fishing",9,"Married-spouse-absent","White","Male",60,0
39,170174,"Exec-managerial",9,"Married-civ-spouse","White","Male",60,1
54,278230,"Farming-fishing",10,"Divorced","White","Female",30,1
50,181498,"Sales",9,"Married-civ-spouse","White","Male",40,0
56,174209,"Machine-op-inspct",3,"Married-civ-spouse","Black","Male",40,0
50,100029,"Sales",13,"Widowed","White","Male",65,1
35,256992,"Other-service",3,"Married-civ-spouse","White","Female",15,0
52,55608,"Machine-op-inspct",2,"Married-civ-spouse","White","Male",40,0
50,194231,"Sales",14,"Divorced","White","Female",40,1
76,93125,"Sales",9,"Married-civ-spouse","White","Male",24,0
23,120910,"Other-service",9,"Never-married","White","Female",35,0
22,482082,"Machine-op-inspct",7,"Married-civ-spouse","White","Female",40,0
54,182543,"Adm-clerical",10,"Widowed","White","Female",40,0
29,46442,"Prof-specialty",13,"Married-civ-spouse","White","Female",50,1
33,75167,"Transport-moving",9,"Married-civ-spouse","White","Male",55,0
42,52781,"Prof-specialty",13,"Married-civ-spouse","White","Male",40,1
57,36990,"Craft-repair",9,"Married-civ-spouse","Black","Male",52,0
36,105021,"Prof-specialty",13,"Married-civ-spouse","White","Male",55,0
40,180362,"unknown",13,"Never-married","White","Female",40,0
48,131826,"Adm-clerical",10,"Married-civ-spouse","White","Male",40,1
28,105817,"Exec-managerial",7,"Married-civ-spouse","White","Male",50,1
31,144949,"Craft-repair",9,"Divorced","White","Male",40,0
38,95336,"Craft-repair",13,"Married-civ-spouse","White","Male",45,0
53,177705,"Craft-repair",13,"Married-civ-spouse","White","Male",44,1
36,116608,"Exec-managerial",9,"Divorced","White","Female",40,0
35,194404,"Prof-specialty",13,"Married-civ-spouse","White","Male",40,1
27,66473,"Exec-managerial",13,"Married-civ-spouse","White","Male",40,1
63,74991,"Farming-fishing",9,"Widowed","White","Male",60,0
45,192776,"Craft-repair",13,"Married-civ-spouse","White","Male",55,1
22,228411,"Exec-managerial",10,"Never-married","White","Male",35,0
40,388725,"Exec-managerial",10,"Divorced","White","Male",40,0
28,181916,"Machine-op-inspct",10,"Separated","White","Male",40,0
48,182862,"Craft-repair",10,"Married-civ-spouse","White","Male",40,1
43,241928,"Adm-clerical",9,"Separated","Black","Female",32,0
73,113446,"Exec-managerial",3,"Married-civ-spouse","White","Male",54,1
18,201554,"Machine-op-inspct",10,"Never-married","White","Female",15,0
43,163108,"Farming-fishing",10,"Married-civ-spouse","White","Male",99,0
37,99146,"Exec-managerial",13,"Married-civ-spouse","White","Male",50,1
34,157747,"Exec-managerial",10,"Married-civ-spouse","White","Male",40,1
57,113090,"Adm-clerical",9,"Married-civ-spouse","White","Male",40,1
20,171886,"Other-service",9,"Never-married","Black","Male",35,0
32,227931,"Exec-managerial",13,"Never-married","White","Female",40,0
35,193241,"Craft-repair",9,"Married-civ-spouse","White","Male",40,0
35,86648,"Prof-specialty",15,"Married-civ-spouse","White","Male",50,1
32,195000,"Craft-repair",9,"Married-civ-spouse","White","Male",40,0
51,117496,"Prof-specialty",14,"Married-civ-spouse","White","Female",40,1
63,194682,"Exec-managerial",16,"Married-civ-spouse","White","Male",50,1
20,88676,"Handlers-cleaners",9,"Never-married","White","Male",40,0
39,117381,"Transport-moving",10,"Divorced","White","Male",65,0
67,65475,"Tech-support",9,"Married-civ-spouse","White","Male",40,1
50,400004,"Sales",10,"Married-civ-spouse","White","Male",60,0
30,1184622,"Transport-moving",10,"Married-civ-spouse","Black","Male",35,0
22,102258,"Protective-serv",10,"Divorced","White","Male",40,0
31,173858,"Machine-op-inspct",9,"Married-civ-spouse","Asian-Pac-Islander","Male",40,0
42,334522,"Handlers-cleaners",9,"Married-civ-spouse","Black","Male",40,0
57,370890,"Adm-clerical",9,"Never-married","White","Male",40,0
36,282092,"Tech-support",12,"Never-married","White","Female",40,0
53,137428,"Transport-moving",4,"Married-civ-spouse","White","Male",60,1
48,247053,"Exec-managerial",10,"Married-civ-spouse","White","Male",40,0
69,183791,"Adm-clerical",9,"Divorced","White","Female",25,0
31,110083,"Exec-managerial",9,"Separated","White","Female",40,0
42,175642,"Adm-clerical",13,"Never-married","White","Female",40,1
46,81136,"unknown",11,"Divorced","White","Male",30,0
20,100188,"Tech-support",10,"Never-married","White","Female",24,0
52,138497,"Sales",13,"Married-civ-spouse","White","Male",45,1
40,110862,"Sales",13,"Married-civ-spouse","White","Male",50,1
42,341204,"Craft-repair",9,"Divorced","White","Female",40,0
60,135470,"Craft-repair",3,"Married-civ-spouse","White","Male",40,0
23,105577,"Priv-house-serv",10,"Never-married","White","Female",26,0
45,45857,"Adm-clerical",9,"Divorced","White","Female",28,0
22,50065,"Prof-specialty",13,"Never-married","White","Female",35,0
36,182863,"Sales",9,"Married-civ-spouse","White","Male",60,1
44,91674,"Exec-managerial",14,"Married-civ-spouse","White","Male",50,1
28,264498,"Prof-specialty",13,"Never-married","White","Female",40,0
51,277024,"Protective-serv",9,"Separated","Black","Male",40,0
31,427474,"Other-service",7,"Married-civ-spouse","White","Male",35,0
54,163815,"Sales",14,"Divorced","White","Male",60,0
41,154668,"Prof-specialty",10,"Married-civ-spouse","White","Male",40,0
32,24529,"Sales",11,"Married-civ-spouse","White","Male",60,1
44,216116,"Other-service",9,"Married-spouse-absent","Black","Female",40,0
40,105119,"Protective-serv",13,"Married-civ-spouse","White","Male",40,0
24,172496,"Sales",13,"Never-married","White","Male",30,0
46,148995,"Prof-specialty",13,"Never-married","White","Male",45,1
36,205607,"Prof-specialty",13,"Divorced","Black","Female",40,1
51,335997,"Exec-managerial",9,"Married-civ-spouse","White","Male",55,1
46,31432,"Adm-clerical",9,"Married-civ-spouse","White","Female",52,1
34,226296,"Other-service",9,"Married-civ-spouse","White","Male",40,1
25,193701,"Other-service",13,"Never-married","White","Female",38,0
57,310320,"Tech-support",13,"Married-civ-spouse","White","Male",48,1
55,182273,"Sales",10,"Married-civ-spouse","White","Male",40,0
65,171584,"Exec-managerial",13,"Never-married","White","Male",40,0
51,200450,"Other-service",9,"Married-civ-spouse","White","Male",40,1
63,27653,"Farming-fishing",9,"Married-civ-spouse","White","Male",35,0
28,150025,"Other-service",9,"Married-civ-spouse","White","Male",40,0
55,52888,"Prof-specialty",15,"Married-civ-spouse","White","Female",10,0
39,237943,"Machine-op-inspct",9,"Divorced","White","Male",40,0
46,165160,"Prof-specialty",13,"Married-civ-spouse","White","Female",40,1
56,26716,"Exec-managerial",13,"Married-civ-spouse","White","Male",20,1
51,171914,"Prof-specialty",13,"Married-civ-spouse","White","Male",50,1
28,51672,"Craft-repair",9,"Never-married","White","Male",35,0
23,120068,"Handlers-cleaners",11,"Married-civ-spouse","White","Male",40,0
45,183092,"Adm-clerical",12,"Never-married","Black","Female",40,0
24,196280,"Tech-support",11,"Never-married","White","Female",38,0
63,427770,"Priv-house-serv",8,"Divorced","Black","Female",30,0
37,193689,"Machine-op-inspct",11,"Married-civ-spouse","White","Male",42,1
52,228516,"Other-service",10,"Married-civ-spouse","White","Male",35,1
37,26898,"Exec-managerial",9,"Divorced","White","Female",12,0
40,26358,"Adm-clerical",12,"Never-married","White","Female",40,0
43,137304,"Tech-support",13,"Married-civ-spouse","Black","Female",40,1
27,212895,"Craft-repair",10,"Never-married","White","Male",40,0
50,171338,"Sales",14,"Married-civ-spouse","White","Male",40,1
25,359985,"Adm-clerical",3,"Never-married","White","Female",33,0
41,363591,"Exec-managerial",11,"Married-civ-spouse","White","Male",40,0
24,117222,"Handlers-cleaners",9,"Divorced","White","Male",40,0
26,212798,"Exec-managerial",13,"Never-married","White","Female",45,0
39,237713,"Sales",15,"Married-civ-spouse","White","Male",99,1
33,175412,"Craft-repair",5,"Divorced","White","Male",55,0
32,388672,"Handlers-cleaners",10,"Divorced","White","Male",16,0
47,176319,"Sales",9,"Married-civ-spouse","White","Female",38,1
33,343021,"Sales",10,"Never-married","White","Male",65,0
30,313038,"Craft-repair",9,"Never-married","White","Male",40,0
22,277700,"Tech-support",10,"Never-married","White","Male",20,0
62,177493,"Exec-managerial",8,"Married-civ-spouse","White","Male",30,0
46,188386,"Exec-managerial",16,"Married-civ-spouse","White","Male",60,1
23,118023,"Exec-managerial",10,"Never-married","White","Male",45,0
33,94041,"Prof-specialty",13,"Never-married","White","Male",30,0
46,151107,"Sales",10,"Married-civ-spouse","Black","Male",60,1
24,197666,"Exec-managerial",13,"Never-married","White","Female",40,0
23,46645,"Prof-specialty",13,"Never-married","White","Female",25,0
38,210844,"Craft-repair",10,"Married-civ-spouse","White","Male",40,0
55,148773,"Machine-op-inspct",6,"Married-civ-spouse","White","Male",40,0
38,226311,"Other-service",9,"Married-AF-spouse","White","Female",25,0
29,232784,"Exec-managerial",12,"Never-married","White","Male",40,0
35,110075,"Prof-specialty",14,"Married-civ-spouse","White","Female",50,1
41,255044,"Exec-managerial",13,"Divorced","White","Female",55,0
67,171564,"Prof-specialty",9,"Married-civ-spouse","White","Female",30,1
36,58602,"Other-service",3,"Never-married","White","Male",35,0
20,230113,"Other-service",10,"Never-married","White","Male",50,0
48,349986,"Prof-specialty",15,"Married-civ-spouse","White","Male",50,1
45,149640,"Craft-repair",10,"Married-civ-spouse","White","Male",40,0
49,122066,"Sales",10,"Divorced","White","Male",25,0
21,123727,"unknown",10,"Never-married","White","Female",28,0
29,198997,"Adm-clerical",9,"Married-civ-spouse","White","Female",20,0
49,228583,"Other-service",9,"Divorced","White","Male",40,0
54,187221,"unknown",4,"Never-married","White","Female",25,0
24,141113,"Sales",4,"Married-civ-spouse","White","Male",40,0
43,105896,"Protective-serv",10,"Divorced","White","Female",40,0
22,217421,"unknown",10,"Never-married","White","Female",30,0
55,120910,"Adm-clerical",9,"Separated","White","Female",40,0
17,228786,"Other-service",6,"Never-married","White","Female",24,0
44,154993,"Craft-repair",10,"Separated","White","Female",55,0
38,179671,"Protective-serv",9,"Married-civ-spouse","White","Male",48,0
36,254202,"Exec-managerial",9,"Divorced","White","Female",50,0
48,175925,"Machine-op-inspct",9,"Married-civ-spouse","White","Male",48,0
36,404661,"Prof-specialty",10,"Married-civ-spouse","Black","Male",40,1
30,203834,"unknown",13,"Never-married","Asian-Pac-Islander","Female",50,0
64,417543,"Prof-specialty",16,"Widowed","Black","Male",50,1
57,34366,"Transport-moving",10,"Married-civ-spouse","White","Male",50,0
46,274689,"Protective-serv",12,"Divorced","White","Male",40,0
29,85572,"Other-service",7,"Married-civ-spouse","White","Female",5,0
28,278736,"Machine-op-inspct",10,"Married-civ-spouse","White","Male",40,0
36,181382,"Machine-op-inspct",11,"Married-civ-spouse","White","Male",40,1
53,298215,"Sales",13,"Married-civ-spouse","White","Male",45,1
21,142809,"Exec-managerial",9,"Never-married","White","Male",40,0
