"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","Spam"
0.55,0,0.55,0,0.55,0,0.55,0,0,0,3.35,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0.479,0.079,147,385,1
0.66,0,0,0,0.11,0,0.33,0,0,0,1.76,1.1,0,0,0.22,0,0,0,0,0,0,0,0,0.11,0,0,0.173,0,0.367,0.077,75,389,1
1.2,0,0,0,0,0,0,0,0,0,3.61,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0
0.36,0,0.36,0.73,0.36,0.36,1.46,0,0,0,2.93,0.36,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,157,0
0,0,0,0,0.4,0,0.4,0,0,0,0,1.22,0,0,0,0.4,0.4,0,0,0.81,0,0.4,0,0,0,0.81,0.199,0,0,0,11,105,0
0,0,0,0,0,0,0,0,0,0,1.23,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0,1,14,0
0,0,0,0,0,0,0.54,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0.54,0.087,0,0.087,0,5,52,0
0,0,0,0,0.88,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0.157,0,0.157,0,15,84,0
0.32,0,0.16,0,0,0,1.48,0,0,0.32,0.16,0.16,0,0,0,1.31,0,0,1.31,0,0,0.65,0.16,0,0,0,0.022,0,0,0,6,154,0
0.46,0,0.12,0.28,0.74,0.25,0.97,1.23,0,0.43,3.22,1.46,0,1.05,0.36,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.325,0.153,193,3040,1
0,0,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
0,0,0.74,0,0.74,0,0.37,0,0,0,2.61,1.49,0,0,0,0.37,0.37,0,0,0.37,0,0.37,0.37,0,0,0.74,0.405,0,0,0,11,130,0
0.13,0,0.27,0.13,0.27,0,0.97,0,0.13,0,3.88,2.77,0,0.13,0.55,0,0,0,0,0,0,0,0,0,0,0,0.017,0,1.316,0,232,757,1
0,0,0.39,0,0.39,0,0.79,0,0,0.39,2.37,2.76,0,1.18,0.79,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0.64,0,13,74,1
0,0,0,0,0.62,0,1.24,0,0,0,1.86,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.105,0,155,271,1
0.38,0,0.25,0.12,0,0,0.25,0,0,0,2.92,2.92,0,0,0.38,0,0,0,0,0,0.12,0,0,0,0,0,0.022,0,0.661,0,21,325,1
0,0,0,0,1.02,0,1.02,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0.154,0,0.154,0,48,76,0
0.71,0,0.3,0.1,0.81,0.1,0.5,0,0,0,2.23,2.03,0,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0.264,1.01,0.033,56,1043,1
0,0,0,0,0,0.24,0.72,0,0,0.24,0.72,2.16,0,0.48,0,0,0,0,0,0,0.24,0,0,0,0,0,0.447,0,0.122,0,19,286,0
0.06,0,0,0.06,0.13,0.13,1.67,0.33,0,0.13,0,0.06,0,0,0,2.54,0.13,0,0.2,0,0.06,0.2,0.13,0.06,0,0,0.131,0,0,0,20,787,0
0.67,0,0.16,0.84,0.5,0.33,1.51,0,0,1.68,2.02,3.87,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.218,0,1.118,0,63,621,1
0,0,0,0,0,0,0,0,0,0,5.05,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0
0.4,0,0.2,0,1.01,0.2,0.4,0,0,0.4,0.8,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,11,190,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.939,0,8,40,1
0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0,0.207,0,25,79,1
0,0,0,0,1.44,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954,0,63,73,0
0.24,0,0.12,0.12,0,0.36,0.85,0,0,0.24,2.33,0.73,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.021,0,0.042,0,69,254,1
0.28,0,0,0.28,0.57,0,0.57,0,0,0,0,0.57,0,0,0,5.2,6.06,0,0,0,0,0,0,0,0,0,0.04,0,0,0,9,211,0
0.32,0,0,0,0,0,0,0,0,0,3.6,3.93,0,0.32,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529,0,132,222,1
0,0,0.27,1.62,1.62,0,0,0,0.54,0,2.16,2.7,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0.038,0.038,0.463,0,65,405,1
0,0,2.3,0,0,0,0.76,0,0,0,2.3,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868,0,2.894,0,25,157,1
0,0,0,0,1.65,0.82,0,0,0,0,3.3,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,68,186,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0,11,82,0
0,0,0.29,2.04,0,0.29,1.16,0,0.29,2.33,2.33,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0.044,0,24,145,1
0.07,0,0,0.07,0.07,0,1.48,0.23,0,1.01,0.15,0,0,0.15,0.07,3.11,0,0,0,0.15,0,0,0.15,0,0,0,0.098,0,0,0,24,576,0
0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,1.49,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1
0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
0.51,0,1.28,0,0.51,0,0.25,0,0,0,1.79,0.77,0,2.05,0,0.51,0.51,0,0,0,0,0,0.25,0,0,0,0.086,0,0.26,0,16,287,1
0,0,0,0,0,0,2.18,0,0,0,3.82,0.54,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0.294,0,0.392,0,7,75,0
0,0,0.8,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0.8,0.294,0,0,0,2,14,0
0.19,0,0,0,0,0,0.19,0.09,0,0,0.19,0.09,0,0,0,0.09,0,0,0,0.19,0,0,0,0.09,0,0,0.137,0,0.061,0,44,990,1
0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0,0,0,11,26,0
0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.291,10,62,1
0,0,0.44,0,0,0,0,0,0,0,0.44,0.44,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0.175,0.058,0,0.058,122,390,0
0,0,0,0,0,0.47,0,0,0,0,1.9,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,182,359,1
0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409,0,1.023,0,25,122,1
0.57,0,0.38,0,0.06,0.12,0.63,0,0,0.5,3.49,1.27,0,0.31,1.08,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0.435,0.022,73,1590,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
0,0,0,0.91,0.91,0,0,0,0,0.45,0.91,0.45,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,0.063,0,46,161,1
0,0,0,0,0,0,2.27,0,0,0,1.98,0.28,0,0,0,0.85,0.85,0.85,0,0,0,0,0,0,0,0,0.09,0.135,0,0,15,155,0
0.71,0,0,0,0.23,0.23,1.9,0,0,0,3.81,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,1.018,0,97,543,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0,0,0,1,4,0
0,0,0,0,0.78,0,0.78,0,0,0,1.56,0,0,0,0,0.78,0.78,0,0,0,0,0,0,0,0,0,0.544,0,0,0,11,76,0
0,0,0,0,0,0,1.35,0,0,0,2.7,1.35,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,0
0,0,0.34,0,0,0,0.69,0,0,0,4.19,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,5,70,0
0,0,0,0,0,0,0,0,0,0,1.34,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0,14,93,1
0,0,0,0,0,0,1.92,0,0,0,1.92,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,1
0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0,4,31,0
0.24,0,0,0.18,0.12,0,0.6,0,0,0.12,0.78,0.72,0,0.06,0.42,1.93,0.66,0,0,0,0.42,0,0.18,0,0,0,0.196,0,0.044,0,29,843,0
0.64,0,0,0,0,0,0.64,0,0,0.64,1.28,3.2,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0,22,119,1
0.38,0,0.38,0.19,0,0,1.72,0,0,0.19,4.03,2.3,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0.349,0,105,312,1
0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,4.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0.123,0,34,130,0
0,0,0.33,0,0,0,1.01,0,0,0.67,3.05,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,69,1
0,0,0,0,0,0,0,0,0,0,0.89,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.52,0,46,105,1
0.76,0,1.02,0.17,0.08,0.17,0.59,0,2.21,0.08,1.61,0.42,0,0.85,0.08,0,0,0,0,0,0,0,0,0,0,0.08,0.063,0,0.394,0.012,669,1407,1
0,0,0,0,0,0,0.6,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,5,32,0
0,0,0,0,0,0.83,0.83,0,0,0,2.91,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0.329,0.065,11,157,0
0,0,0,0.71,0,0,0.71,0,0,0,4.31,1.43,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0.132,0,16,72,1
0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0.42,0.42,0,0,0,0,1.28,0,0,0,0,0,0,0,0,8,106,0
0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476,0,0,0,3,18,0
0,0,0,0,0,0,0,0,0,0,3.84,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,41,72,1
0,0,0,0,0,0,0,0,0,0,1.01,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,0,13,74,0
0,0,0,0,0,0,1.4,0,0,0.7,1.4,1.4,0,0,0,0,0,0.7,0,0,1.4,0,0,0,0,0,0.267,0.066,0,0,200,377,0
0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.116,0,0,0,9,83,0
0.32,0,0,0,0,0,0.64,0,0,0,0.32,0,0,0,0,0.64,0.64,0,0,0,0,0.32,0.64,0,0,0,0.04,0,0,0,10,175,0
0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0.95,0,0,0,0.95,0,0,0,0,0,1.9,0.394,0,0,0,5,45,0
0,0,0,0,0,0,2.32,0,0,0,5.11,0.46,0,0,0,0.93,1.39,0,0.46,0,0,0,0,0,0,0,0,0,0.065,0,13,86,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,0
0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.131,0,48,53,0
0,0,0,0,0,0,0,0,0,0,0.81,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,26,151,1
0.5,0,0.5,0,0,0,0,0,0,1.01,3.04,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0.178,0,17,95,1
0.49,0,0,0,0,0,0.99,0,0,0.99,2.47,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0.497,0,78,225,1
0,0,0,0,1.47,0,0,0,0,0,2.94,1.47,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1.272,0,63,109,1
0.44,0,0,0,1.54,0,0.88,0,1.1,0,2.87,1.54,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0.659,0.028,65,728,1
0.84,0,0.84,0.84,0.28,0.28,1.41,0,0,1.41,0.84,2.83,0,0.28,0.84,0,0,0,0,0,0,0,0,0,0,0,0.128,0,1.289,0,47,386,1
0.35,0,0.35,0,0,0,0,0,0,1.05,3.16,1.4,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0.23,0,60,262,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,4,16,0
0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,4.87,4.87,0,0,0,2.43,1.21,0,0,0,0,0.365,0,0,0,10,63,0
1.21,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,1,16,0
0,0,0,0,0,0,1.36,0,0,0,0.91,0,0,0,0,0,0,0,0.22,0.45,0,0,0,0,0,0,0.326,0,0.285,0,31,141,0
0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872,0,5,11,1
0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,4,11,0
0.47,0,0,0.47,0,0,0.94,0,1.88,0.47,2.83,2.35,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0.082,0,60,137,1
0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0.97,0.97,0,0,0,0,0,0.97,0,0,0,0.167,0,0,1.342,13,77,1
0.93,0,0.8,0.8,1.2,0,0.8,0,1.46,0.26,2.4,1.06,0,0.8,0.93,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.593,0.039,525,1112,1
0.75,0,0.25,0.5,0,0.5,2.26,0,0,1,4.03,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0.375,0,60,231,1
0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,0,3.427,0,12,75,1
0.1,0,0.1,0,0.2,0.4,0.5,0.6,0,0.2,1.72,1.72,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0.336,0,494,1426,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,7,0
0.54,0,0,0,0.54,0,1.62,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0,0,0,27,69,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,6.15,0,0,0,0,0,1.53,0,0,0,0,0,0,0,6,36,0
0,0,0,1.04,0,0.52,1.04,0,0,0,3.66,1.04,0,1.57,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539,0,47,272,1
0.45,0,0,0.22,0.68,0.45,0.9,0,0,0,3.86,1.13,0,0,0.45,0,0,0,0,0,0,0,0,0.45,0,0,0.033,0,1.103,0.033,54,430,1
0.18,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0.18,0.18,0,0,0,0.056,0,0,0,19,232,0
0,0,0,0,0.47,0,0.95,0,0,0,2.87,0.47,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694,0,164,239,1
0.26,0,0.08,0.08,0.62,0.08,1.15,0.7,0.17,0.08,4.16,2.21,0,0.17,1.5,0,0,0,0,0,0.08,0,0,0.08,0,0,0.044,0,0.339,0.014,74,753,1
0,0,0,0,0.54,0.54,0.54,0,0,0,3.26,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0,5,53,1
0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,0
0.89,0,0.44,0,0,0,0.44,0,0,0,2.24,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0,12,144,1
0,0,0,0,0,0,1.23,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0,4,19,0
1.09,0,0,0,0,0,1.09,0,0,0,3.29,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0.217,0,0,0,1,18,0
3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0
0.73,0,0,0,0,0,1.47,0,0,0,1.47,0.73,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0.238,0,0,0,5,53,0
0.1,0,0.1,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,3,0,0,0,0,0,0.31,0,0,0,0,0.097,0,0,0,22,423,0
0,0,0,0,0,0,0,0,0,1.47,0,1.47,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0.338,0,0.508,0.169,140,170,1
0,0,0,0,0,0,1.04,0,0,0,5.2,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0.195,0,0,0,2,15,0
1.1,0,0,0,0.27,0.27,0.55,0,0,0,1.1,0.83,0,0,0,1.1,0.27,0,0.55,0,0,0,0.83,0,0,0,0.349,0,0,0,79,316,0
1.13,0,0.56,0,0.56,0,1.13,0,0,0,2.84,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0,0.768,0,296,409,1
1.45,0,0,0,0,0,0,0,0,0,4.36,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,2.443,0,8,81,1
1.24,0,0,0,0,0,0.41,0,0,0,3.73,1.24,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0.48,0,19,114,1
0,0,0,0,0,0.23,0,0,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0,0.149,0,18,184,0
0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0.26,0,10,44,0
0,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0.17,0,0.51,0,23,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
0.4,0,0.9,0.5,0.8,0.2,0.8,0,1.6,0.2,2.2,1,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0.334,0.014,669,1200,1
0,0,0,0,0,0,1.28,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,83,0
