"cut","depth","table","price","x","y","z"
"Very Good",63.3,57,5114,6.75,6.7,4.26
"Ideal",61.5,57,1045,4.88,4.84,2.99
"Premium",61.7,58,748,4.54,4.51,2.79
"Premium",58.5,60,17934,8.54,8.49,4.98
"Good",62.8,62,1642,5.22,5.25,3.29
"Ideal",61.4,56,1243,4.81,4.77,2.94
"Ideal",62.5,57,1181,4.75,4.72,2.96
"Ideal",62.3,56,1906,5.15,5.18,3.22
"Very Good",58.7,59,552,4.04,4.1,2.39
"Ideal",61.5,58,7609,7.08,7.11,4.36
"Ideal",61,56,1065,4.53,4.58,2.78
"Premium",61.2,60,5622,6.85,6.8,4.18
"Very Good",61.5,54,3314,5.88,5.82,3.6
"Very Good",62,55,471,4.24,4.27,2.63
"Very Good",62.9,59,666,4.66,4.69,2.94
"Ideal",61.4,57,1847,5.17,5.19,3.18
"Premium",62.7,59,684,4.29,4.32,2.7
"Premium",62.2,57,984,5.2,5.16,3.22
"Ideal",60.7,56,7848,7.51,7.46,4.54
"Ideal",62.8,55,8418,7.48,7.42,4.68
"Premium",60.2,59,4427,6.5,6.39,3.88
"Ideal",62.3,53,863,4.74,4.76,2.96
"Very Good",63.2,61,3242,6.12,6.03,3.84
"Ideal",61.4,56,1755,5.33,5.42,3.3
"Ideal",61.9,57,2217,5.31,5.35,3.3
"Premium",62,59,7821,6.38,6.42,3.97
"Premium",62.1,59,7932,7.69,7.63,4.76
"Premium",61.6,61,2285,5.7,5.63,3.49
"Good",57.8,62,2657,6.51,6.47,3.75
"Ideal",61.9,57,3941,6.21,6.25,3.86
"Ideal",61.1,56,1208,4.52,4.55,2.77
"Premium",59.5,59,847,4.83,4.89,2.89
"Premium",61.1,58,2383,5.73,5.69,3.49
"Ideal",60.5,56,758,4.45,4.48,2.7
"Ideal",62,54,452,4.37,4.4,2.72
"Very Good",62.3,61,3868,6.12,6.17,3.83
"Very Good",60.3,62,6951,6.72,6.67,4.04
"Very Good",59.9,59,620,4.23,4.28,2.55
"Ideal",61.9,56,1636,5.34,5.38,3.32
"Ideal",61.5,55,3299,5.75,5.79,3.55
"Very Good",62.4,60,3713,6.18,6.22,3.87
"Very Good",63.3,57,9853,8.03,7.96,5.06
"Fair",60.1,61,7819,7.25,7.3,4.37
"Premium",60.1,58,10889,7.57,7.6,4.71
"Fair",64.9,56,10184,7.88,7.81,5.09
"Ideal",62.4,57,1689,5.1,5.13,3.19
"Ideal",61.9,56,759,4.32,4.37,2.69
"Very Good",62.8,58,447,4.43,4.46,2.79
"Ideal",60.9,55,1780,5.63,5.7,3.45
"Ideal",60.9,57,1203,5.16,5.13,3.13
"Premium",62.9,55,5940,6.39,6.33,4
"Ideal",61.4,56,1656,4.83,4.85,2.97
"Fair",63.8,61,4252,6.07,5.99,3.85
"Very Good",60.9,59,974,5.14,5.18,3.14
"Good",63.2,55,378,4.26,4.29,2.7
"Premium",61.7,58,1084,4.48,4.43,2.75
"Good",61.3,65,4446,6.59,6.41,4
"Ideal",62.2,54,2278,5.51,5.49,3.42
"Ideal",60.5,57,729,4.59,4.56,2.77
"Good",64.3,60,3344,6.04,6.12,3.91
"Very Good",63.1,58,10078,7.45,7.39,4.68
"Ideal",61.7,56,1052,4.46,4.42,2.74
"Very Good",61.4,55,692,4.46,4.5,2.75
"Ideal",62.7,57,2352,5.69,5.64,3.55
"Ideal",61.4,54,906,4.58,4.54,2.8
"Premium",62.1,58,802,4.36,4.31,2.69
"Premium",60,60,2862,6.07,5.99,3.64
"Fair",65.5,57,1806,5.56,5.43,3.6
"Ideal",61.6,56,1397,5.36,5.33,3.29
"Very Good",63.5,55,13624,7.26,7.3,4.62
"Good",63.6,54,748,4.52,4.51,2.87
"Fair",64.8,57,4551,6.73,6.69,4.35
"Ideal",60.9,56,671,4.4,4.42,2.69
"Premium",62.7,53,3007,5.65,5.61,3.53
"Very Good",62.9,59,827,4.7,4.75,2.97
"Premium",61.5,56,4051,6.27,6.22,3.84
"Ideal",62.3,56,6387,6.63,6.59,4.12
"Premium",60.5,58,2394,5.91,5.86,3.56
"Ideal",60.2,56,598,4.3,4.31,2.59
"Good",63.7,55,1605,5.12,5.09,3.25
"Premium",62.1,58,1080,4.76,4.71,2.94
"Premium",61.1,58,3246,6.22,6.18,3.79
"Premium",59.7,59,7164,6.57,6.5,3.9
"Good",62.1,54,825,4.67,4.73,2.92
"Very Good",60.6,58,8789,7.36,7.4,4.47
"Ideal",61,57,1103,4.87,4.84,2.96
"Ideal",61.5,55,598,4.53,4.57,2.8
"Very Good",64.1,57,4190,6.35,6.38,4.08
"Ideal",61.9,55,706,4.52,4.53,2.8
"Good",63.3,58,8752,6.31,6.39,4.02
"Premium",62,58,720,4.38,4.33,2.7
"Premium",60.6,59,1622,5.29,5.33,3.22
"Ideal",61.9,55,7275,6.55,6.57,4.06
"Very Good",60.4,57,2945,5.39,5.44,3.27
"Ideal",61.2,56,1815,5.23,5.16,3.18
"Good",63.3,54,718,4.62,4.67,2.94
"Premium",60.2,61,12963,8.23,8.16,4.93
"Ideal",60.1,60,4131,6.54,6.5,3.92
"Premium",62.5,58,4552,6.43,6.4,4.01
"Very Good",60.2,60,15424,8.42,8.49,5.09
"Ideal",61.7,56,511,4.29,4.33,2.66
"Ideal",61.2,58,7375,6.5,6.53,3.99
"Very Good",61.5,59,530,3.95,3.98,2.44
"Very Good",63.5,54,2811,5.98,5.95,3.79
"Ideal",61.5,56,752,4.45,4.49,2.75
"Ideal",62.1,55.5,1794,5.08,5.13,3.18
"Premium",59.3,59,1080,4.83,4.79,2.85
"Premium",61.5,61,557,4.46,4.39,2.72
"Ideal",61.7,58,5426,6.41,6.49,3.98
"Premium",62.3,58,5962,6.82,6.79,4.24
"Very Good",61,60,5804,6.38,6.43,3.91
"Ideal",62.1,57,5929,6.34,6.38,3.95
"Ideal",62.6,54,686,4.46,4.48,2.8
"Ideal",61.9,57,475,4.31,4.35,2.68
"Very Good",61.7,56,2830,5.84,5.89,3.62
"Ideal",60.4,56,813,4.52,4.55,2.74
"Premium",61,58,734,4.37,4.39,2.67
"Ideal",62,56,708,4.41,4.43,2.74
"Ideal",61.2,56,4000,5.72,5.75,3.51
"Very Good",57.7,61,2844,5.92,5.96,3.43
"Ideal",62.5,55,2726,5.68,5.72,3.56
"Very Good",63.3,56,882,4.74,4.68,2.98
"Good",63.1,58,544,4.3,4.35,2.73
"Very Good",62.8,62,6386,6.28,6.33,3.96
"Very Good",62.6,60,5116,6.68,6.74,4.2
"Good",63.2,55,537,4.46,4.5,2.83
"Good",63.2,57,2496,5.61,5.63,3.55
"Ideal",62,56,3413,5.91,5.93,3.67
"Premium",62.2,58,1580,5.22,5.26,3.26
"Ideal",62.6,57,755,4.72,4.73,2.96
"Very Good",61,54,439,4.19,4.21,2.56
"Ideal",61.3,56,5595,6.55,6.51,4
"Ideal",61.5,59,15592,7.38,7.46,4.56
"Premium",62.4,58,605,4.56,4.54,2.84
"Premium",62.1,58,709,4.28,4.25,2.65
"Ideal",61.6,55,602,4.64,4.68,2.87
"Good",57.7,59.7,5817,6.5,6.58,3.77
"Very Good",63.1,56,5750,6.7,6.62,4.2
"Good",57.5,62,849,4.47,4.54,2.59
"Good",63.5,60,4588,6.3,6.33,4.01
"Ideal",59.8,57,2346,4.59,4.57,2.74
"Ideal",60.3,57,3363,6.31,6.27,3.79
"Very Good",62.5,56,2699,6.06,6.19,3.83
"Premium",62.4,60,693,4.42,4.39,2.75
"Very Good",63.2,57,8006,6.64,6.61,4.18
"Premium",59.4,62,4155,6.4,6.37,3.79
"Ideal",61.6,57,5331,6.37,6.45,3.95
"Premium",62.5,57,2515,5.95,5.89,3.7
"Fair",65.2,55.5,2103,5.52,5.58,3.62
"Premium",62.6,56,17760,8.01,7.96,5
"Very Good",63.3,57,967,4.66,4.72,2.97
"Very Good",63,57,1688,5.03,5.06,3.18
"Premium",60.9,59,8258,7.42,7.46,4.53
"Ideal",62.7,57,3990,6.1,6.15,3.84
"Ideal",61.8,56,736,4.39,4.41,2.72
"Ideal",60.7,59,8743,7.69,7.64,4.65
"Ideal",61.7,57,3089,5.78,5.81,3.57
"Very Good",62.5,57,719,4.69,4.72,2.94
"Good",63.2,57,489,4.32,4.35,2.74
"Good",63.7,55,2435,5.63,5.58,3.57
"Very Good",63.5,55,714,4.47,4.44,2.83
"Fair",66.9,61,6425,6.93,6.89,4.62
"Premium",59.9,62,9821,7.51,7.44,4.48
"Very Good",60.9,58,4284,6.43,6.55,3.95
"Ideal",62.3,57,2954,5.8,5.83,3.62
"Very Good",62.3,60,2436,5.65,5.68,3.53
"Ideal",61.2,56,603,4.71,4.73,2.89
"Ideal",62.2,55,702,4.37,4.38,2.72
"Premium",58.8,58,10179,8.57,8.53,5.03
"Very Good",62.2,55,886,4.39,4.43,2.74
"Ideal",61.6,56,1446,5.14,5.18,3.18
"Ideal",61.1,56,7058,7.11,7.13,4.35
"Very Good",58.2,60,2681,5.75,5.79,3.36
"Very Good",60.5,56,707,4.39,4.47,2.68
"Very Good",62.9,57,605,4.27,4.29,2.69
"Fair",62.9,67,1791,5.02,4.96,3.14
"Ideal",62.2,57,3462,5.75,5.79,3.59
"Premium",62.8,58,14184,8.11,8.06,5.08
"Ideal",62,56,599,4.09,4.13,2.55
"Premium",62.5,59,2901,5.97,5.9,3.71
"Premium",62,60,7608,7.31,7.27,4.55
"Premium",61.9,60,6213,6.55,6.48,4.03
"Very Good",58.7,63,2862,5.73,5.69,3.35
"Ideal",61.4,56,2289,5.78,5.84,3.57
"Very Good",62.6,59,4844,6.29,6.33,3.95
"Premium",61.1,58,1752,5.09,5.12,3.12
"Premium",60.6,58,898,4.7,4.68,2.84
"Premium",61.1,58,1683,5.18,5.09,3.14
"Ideal",62,55,584,4.5,4.53,2.8
"Very Good",59.2,58,1918,5.69,5.72,3.38
"Very Good",62.5,59,3632,6.16,6.23,3.87
"Good",63.1,58,687,4.66,4.69,2.95
"Premium",61.9,59,720,4.39,4.36,2.71
"Ideal",62.2,54,1124,4.71,4.74,2.94
"Very Good",62.3,54,1816,5.38,5.41,3.36
"Very Good",63.1,53,675,4.32,4.27,2.71
"Ideal",60.6,56,2141,5.47,5.52,3.33
"Ideal",61.5,57,9926,7.4,7.35,4.54
"Premium",62.8,59,992,4.78,4.74,2.99
"Ideal",61.6,57,3005,5.81,5.78,3.57
"Fair",67.1,64,8576,7.57,7.52,5.06
"Premium",61.7,60,3818,6.4,6.34,3.93
"Ideal",61.1,58,6303,6.83,6.86,4.18
"Premium",60.9,59,18522,8.62,8.59,5.24
"Ideal",61.7,57,5411,6.21,6.23,3.84
"Very Good",61,62,895,4.32,4.34,2.64
"Ideal",62.7,55,1076,4.77,4.74,2.98
"Ideal",61.5,56,478,4.56,4.58,2.81
"Good",58.5,61,4257,6.63,6.68,3.89
"Ideal",61.4,55,1044,4.56,4.59,2.81
"Very Good",63.3,58,6871,6.77,6.72,4.27
"Ideal",62.7,57,5577,6.42,6.46,4.04
"Premium",62.4,57,558,4.35,4.31,2.7
"Ideal",60.2,57,589,4.54,4.5,2.72
"Ideal",61.1,56,1061,4.45,4.42,2.71
"Ideal",62.6,54,880,4.48,4.46,2.8
"Premium",63,59,4338,6.32,6.27,3.96
"Ideal",62.3,54,840,4.34,4.36,2.71
"Premium",59.3,59,2022,6.17,6.1,3.64
"Very Good",63.6,57,2681,5.59,5.63,3.57
"Very Good",61.2,60,726,4.56,4.59,2.8
"Ideal",61.4,57,1187,4.76,4.79,2.93
"Good",61.6,62,2570,5.67,5.72,3.51
"Premium",59.5,62,3620,6.3,6.24,3.73
"Very Good",62.4,56,391,3.99,4.03,2.5
"Ideal",61.4,54,710,4.33,4.34,2.66
"Very Good",61.2,56,740,4.67,4.71,2.87
"Very Good",63.8,53,3615,6.1,6.16,3.91
"Very Good",61.3,59,818,4.79,4.74,2.92
"Premium",60.1,59,6126,7.52,7.5,4.51
"Ideal",62.8,55,1441,5.23,5.17,3.27
"Very Good",62.8,57,6671,7.14,7.17,4.49
"Premium",59.7,59,743,4.53,4.52,2.7
"Good",63.8,56,4202,6.35,6.32,4.04
"Premium",62.8,59,1719,5.44,5.3,3.37
"Good",63.9,58,612,4.33,4.31,2.76
"Fair",66.2,56,5122,6.05,6.1,4.02
"Ideal",62.7,55,7272,7.27,7.18,4.53
"Ideal",62.2,57,605,4.26,4.29,2.66
"Very Good",59.8,58,492,4.52,4.54,2.71
"Very Good",62.5,59,1203,5.08,5.1,3.18
"Ideal",60.8,56,1852,5.28,5.31,3.22
"Good",63.6,54,1061,4.75,4.72,3.01
"Very Good",63.3,57,2477,5.71,5.67,3.6
"Ideal",61.8,57,533,4.33,4.37,2.69
"Premium",61.3,60,14299,8.35,8.33,5.11
"Ideal",59.5,57,12738,7.56,7.46,4.47
"Ideal",62.7,57,1846,5.28,5.25,3.3
"Ideal",61,55,2978,6,6.03,3.67
"Ideal",63,57,7589,6.82,6.76,4.28
"Ideal",59.7,57,1656,5.2,5.25,3.12
"Premium",62.8,59,2348,5.66,5.59,3.53
"Ideal",61.3,55,3243,5.67,5.71,3.49
"Very Good",59.8,56,3535,6.13,6.18,3.68
"Fair",65.3,53,5028,6.74,6.68,4.38
"Very Good",61.8,58,4989,6.88,6.91,4.26
"Premium",62,57,9877,7.39,7.35,4.57
"Premium",61.3,59,14208,8.13,8.09,4.97
"Very Good",59.9,60,1233,4.8,4.82,2.88
"Ideal",62.4,56,1105,4.75,4.8,2.98
"Ideal",60.4,54,9000,6.6,6.65,4
"Very Good",63.3,57,506,4.28,4.25,2.7
"Very Good",62.7,58,3286,6.2,6.24,3.9
"Ideal",62.2,55,1343,5.4,5.36,3.35
"Very Good",60.5,55,453,4.34,4.37,2.63
"Premium",63,58,2572,5.67,5.6,3.55
"Ideal",61,56,823,4.82,4.86,2.95
"Premium",60.2,60,574,4.35,4.32,2.61
"Premium",61.8,58,3787,6.23,6.19,3.84
"Ideal",62.1,56,4407,6.44,6.48,4.01
"Ideal",62.8,56,898,4.62,4.59,2.89
"Premium",62,59,1112,5.18,5.15,3.2
"Very Good",63.2,59,548,3.98,4,2.52
"Ideal",62,54,914,4.38,4.4,2.72
"Premium",61.3,58,926,4.37,4.4,2.69
"Premium",61.8,58,878,4.36,4.32,2.68
"Very Good",59,60,765,4.9,4.96,2.91
"Ideal",61.1,56,1569,5.44,5.49,3.33
"Ideal",62.3,55,5125,6.58,6.61,4.11
"Very Good",63.1,59,765,4.7,4.65,2.95
"Ideal",61.6,56,644,4.49,4.53,2.78
"Very Good",59.7,59,7358,7.36,7.39,4.4
"Premium",62.3,58,4444,6.84,6.8,4.25
"Ideal",60.9,56,6939,6.68,6.79,4.1
"Ideal",61.2,56,1695,5.13,5.17,3.15
"Good",63.1,54,8258,7.31,7.34,4.62
"Very Good",63.3,56,1071,5.12,5.02,3.21
"Very Good",63,62,17448,8.58,8.62,5.42
"Good",61.9,64.3,1362,5.01,5.03,3.11
"Ideal",62.5,54.3,1316,5.09,5.12,3.19
"Ideal",60.3,56,1867,4.72,4.74,2.85
"Very Good",63.4,60,3563,6.33,6.26,3.99
"Ideal",61.8,53,1059,4.75,4.77,2.94
"Ideal",62.4,57,5653,6.47,6.44,4.03
"Ideal",61.4,56,761,4.89,4.94,3.02
"Ideal",62.4,55,689,4.51,4.47,2.8
"Ideal",62.9,54,7862,7.77,7.74,4.88
"Ideal",61.5,56,2526,5.53,5.5,3.39
"Fair",64.5,61,3473,6.1,6,3.9
"Good",62.2,60,505,3.9,3.94,2.44
"Ideal",61.9,54.4,6779,6.9,6.93,4.28
"Premium",61.1,59,3703,6.2,6.24,3.8
"Ideal",62,54,3084,6.08,6.11,3.78
"Ideal",61.9,57,8287,7.37,7.32,4.55
"Ideal",61.7,56,4591,6.71,6.67,4.13
"Good",63,61,2394,5.51,5.64,3.51
"Very Good",62.9,60,4760,6.35,6.46,4.03
"Very Good",62.9,56,4286,6.09,6.12,3.84
"Ideal",62.5,55,540,4.4,4.37,2.74
"Ideal",62.1,54,5751,6.83,6.77,4.22
"Ideal",61.3,57,2525,5.73,5.75,3.51
"Ideal",61.1,57,4053,5.74,5.78,3.52
"Fair",66.5,56,14208,7.75,7.7,5.14
"Ideal",60.7,56,1571,5.34,5.37,3.25
"Premium",59.4,59,7548,6.71,6.68,3.98
"Ideal",60.9,54,4871,6.19,6.22,3.78
"Ideal",60.8,56,892,4.35,4.36,2.65
"Premium",61.4,61,2203,5.77,5.7,3.52
"Very Good",60.7,59,614,4.52,4.57,2.76
"Ideal",61.8,56,1094,4.6,4.56,2.83
"Very Good",63.2,56,3763,6.4,6.32,4.02
"Very Good",61.6,58,594,4.4,4.47,2.73
"Ideal",60.9,56,956,4.75,4.68,2.87
"Ideal",62.3,54,1094,4.84,4.85,3.02
"Premium",62,57,11043,7.72,7.63,4.76
"Ideal",62.8,57,1202,5.33,5.37,3.36
"Premium",60.5,59,894,4.67,4.62,2.81
"Ideal",61.2,57,1778,5.16,5.2,3.17
"Ideal",61.9,58,8481,6.54,6.57,4.06
"Ideal",62.1,56,872,4.35,4.32,2.69
"Premium",61.3,58,8779,6.91,6.89,4.23
"Premium",62.1,58,1061,4.78,4.76,2.96
"Premium",60.6,59,10570,7.47,7.41,4.51
"Very Good",60.9,58,4566,6.45,6.49,3.94
"Premium",62.7,58,5237,6.6,6.55,4.12
"Good",63.1,57,486,4.51,4.55,2.86
"Very Good",62.6,58,4652,6.78,6.84,4.26
"Very Good",59.8,56,12839,8.32,8.41,5
"Very Good",61.6,60,2495,5.7,5.73,3.52
"Ideal",62,57,4318,6.21,6.25,3.86
"Very Good",62.7,56,1666,5.66,5.72,3.57
"Premium",60.9,58,743,4.5,4.46,2.73
"Ideal",62.5,57,4516,6.8,6.74,4.23
"Premium",62.6,58,658,4.26,4.3,2.68
"Ideal",61.9,54,814,4.35,4.37,2.7
"Ideal",62.3,54,3195,5.68,5.72,3.55
"Premium",61.1,59,1571,5.39,5.32,3.27
"Premium",60.4,58,7032,6.57,6.47,3.94
"Very Good",62.5,58,3333,5.68,5.71,3.56
"Very Good",60.7,56,407,4.32,4.34,2.63
"Very Good",60.8,57,2068,5.37,5.42,3.28
"Ideal",62.2,56,1619,5.1,5.13,3.18
"Premium",61.4,58,12068,7.4,7.3,4.51
"Premium",61.7,58,1219,5.16,5.12,3.17
"Ideal",59.3,59,15802,7.16,7.23,4.27
"Very Good",63.1,60,6108,6.36,6.31,4
"Ideal",62.4,56,3733,6.44,6.38,4
"Ideal",61.7,54.3,853,4.68,4.69,2.89
"Ideal",61,57,898,4.4,4.42,2.69
"Premium",60.9,58,7522,6.53,6.47,3.96
"Ideal",62.2,55,1448,5.28,5.33,3.3
"Very Good",59.4,59,2964,5.78,5.81,3.44
"Ideal",61.2,56,1662,5.19,5.22,3.18
"Premium",59.3,58,649,4.73,4.75,2.81
"Very Good",61.6,58,402,3.96,3.99,2.45
"Good",63.3,56,1436,5.07,5.1,3.22
"Ideal",61.3,56,1625,5.32,5.27,3.25
"Premium",59.3,60,18559,9.51,9.46,5.62
"Good",62.9,56,5124,6.9,6.94,4.35
"Ideal",61.1,56,1745,4.8,4.82,2.94
"Premium",62,61,2184,5.67,5.62,3.5
"Premium",58.7,61,9967,8.33,8.31,4.88
"Ideal",61.8,54,1632,5.15,5.18,3.19
"Ideal",61.5,56,3373,6.01,6.03,3.7
"Fair",65.7,57,4058,6.72,6.68,4.4
"Ideal",61.6,55,804,4.4,4.37,2.7
"Good",63.8,54,3607,6.36,6.3,4.04
"Premium",61.1,58,435,4.36,4.38,2.67
"Premium",61.3,60,628,4.36,4.32,2.66
"Fair",64.6,56.4,2594,5.78,5.84,3.75
"Fair",65.1,59,3575,6.3,6.23,4.08
"Ideal",62.1,56,880,4.47,4.45,2.77
"Good",64.5,55,425,3.83,3.86,2.48
"Premium",61.6,58,2633,5.69,5.73,3.52
"Premium",62.3,60,4469,6.23,6.19,3.87
"Ideal",61.3,56,622,4.72,4.77,2.91
"Ideal",62.2,56,9419,6.74,6.7,4.18
"Ideal",61.5,55,658,4.28,4.31,2.64
"Premium",60.6,59,684,4.39,4.35,2.65
"Fair",65.5,58,8627,7.16,7.12,4.68
"Premium",61,60,14214,7.4,7.43,4.52
"Premium",62.4,59,3998,6.42,6.37,3.99
"Ideal",62.7,55,2313,5.66,5.7,3.56
"Very Good",62.2,58,2093,5.77,5.83,3.61
"Ideal",61.9,56,709,4.31,4.28,2.66
"Good",64.3,54,4558,6.32,6.27,4.05
"Ideal",61.8,56,1013,4.33,4.31,2.67
"Ideal",61.9,57,579,4.43,4.46,2.75
"Good",63.7,60,3929,6.28,6.35,4.02
"Premium",62.5,58,10033,6.87,6.83,4.28
"Ideal",61.9,55,801,4.37,4.42,2.72
"Ideal",62.6,57,3325,5.87,5.91,3.69
"Premium",62.7,58,8616,6.76,6.85,4.27
"Ideal",62.2,53,958,4.35,4.4,2.72
"Very Good",61.6,56,15658,7.38,7.45,4.57
"Ideal",60.4,57,1266,5.27,5.3,3.19
"Very Good",60.7,59,2297,5.19,5.28,3.18
"Very Good",63.1,55,8782,7.42,7.45,4.69
"Very Good",61.1,61,10215,7.32,7.37,4.49
"Very Good",63.5,57,641,4.26,4.21,2.69
"Ideal",61.7,57,2511,5.75,5.72,3.54
"Premium",61.4,57,1736,4.99,4.95,3.05
