CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber
5621-QSZPSF-NF2,4,1,Female,59,19,Professional,No,8,No,47000,8.6,1.358112,2.683888,No,Unmarried,1,7,3,0,0,0,3,Own,Domestic,28000,17,No,Yes,Disc,16,11,4889.7,No,50,25.65,446.55,Yes,31.2,1568.35,Yes,No,0,0,Yes,No,No,3,No,Yes,No,No,Yes,26,Yes,Yes,No,No,No
8241-PWPONH-62O,2,4,Female,33,8,Sales,No,4,No,19000,0.9,0.130131,0.040869,No,Married,5,6,0,0,0,0,2,Own,Foreign,9300,28,No,No,Mast,6,14,3382.6,No,9,10.8,37,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,27,No,No,No,No,No
8795-FYOXCT-P09,5,2,Male,44,10,Professional,No,12,No,73000,2.8,1.250928,0.793072,No,Unmarried,1,1,0,1,0,1,1,Own,Foreign,38500,25,Yes,Yes,Disc,1,12,5343.6,No,5,20.25,29.9,No,0,0,Yes,No,0,0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,No
1705-NMIQNO-IC4,3,2,Male,58,18,Professional,No,3,No,63000,10.5,1.924965,4.690035,No,Unmarried,1,0,0,0,0,1,0,-1,-1,-1000,16,No,Yes,Disc,25,10,5935,Yes,58,36.3,680.75,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,No,Yes,Yes,No,21,Yes,No,No,No,Yes
9205-PAZEXY-90Q,2,1,Female,72,20,Agriculture,Yes,27,Yes,17000,9.8,1.276156,0.389844,No,Married,2,0,0,0,0,1,1,Own,Foreign,9300,32,Yes,Yes,Mast,33,12,2331.7,Yes,67,41.7,954.05,Yes,38.55,2580.75,Yes,No,0,0,Yes,No,No,No,No,No,Yes,No,Yes,24,Yes,No,Yes,Yes,Yes
4225-PZZDIY-IBH,3,1,Female,66,13,Labor,Yes,31,Yes,23000,9.3,0.934743,1.204257,No,Married,2,9,3,0,0,0,3,Own,Domestic,11600,14,Yes,Yes,Mast,40,9,2974.7,No,72,116.1,2854.9,No,0,0,Yes,Yes,43.25,3159.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,22,Yes,No,No,Yes,Yes
0758-EQEGIQ-3OF,1,1,Female,57,17,Agriculture,No,24,No,171000,9.5,1.803195,14.441805,No,Married,3,1,0,1,0,1,2,Own,Foreign,75800,19,Yes,No,Disc,19,14,3059.4,Yes,48,12.45,214.85,Yes,43.15,1990.25,Yes,Yes,40.2,1840.45,No,Yes,Yes,3,Yes,Yes,No,Yes,Yes,17,Yes,Yes,Yes,Yes,No
0649-TBFJFL-QU4,5,2,Male,63,14,Labor,Yes,29,No,424000,10.7,13.111352,32.256648,No,Married,2,0,0,0,0,1,3,Own,Domestic,88600,29,No,Yes,Mast,36,10,4957.5,No,70,104.4,2540.15,No,0,0,Yes,No,0,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,24,No,No,No,No,Yes
2228-KOLOPU-FY3,5,5,Female,28,11,Professional,No,4,No,23000,4.8,0.190992,0.913008,No,Married,3,10,1,0,0,1,0,-1,-1,-1000,30,Yes,No,Visa,10,17,4420.9,Yes,34,10.35,110.45,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,16,No,No,No,No,No
3853-NVDCOJ-TIN,1,1,Female,78,16,Professional,No,10,Yes,22000,15.2,0.692208,2.651792,No,Unmarried,1,0,0,0,0,0,2,Own,Foreign,10800,23,No,No,Visa,10,1,81.1,Yes,14,21.9,85.6,Yes,24.85,341.75,Yes,No,0,0,Yes,No,No,Yes,No,No,No,No,Yes,22,Yes,Yes,No,No,No
0765-UXAFYM-PDR,3,3,Male,61,16,Professional,No,4,No,35000,10.1,1.233715,2.301285,No,Married,2,0,0,0,0,0,4,Lease,Domestic,9400,34,No,No,AMEX,27,8,2719.8,No,53,33.6,567.05,No,0,0,Yes,No,0,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,25,Yes,Yes,Yes,No,No
9937-SFPLRK-H9Y,2,4,Male,70,17,Sales,Yes,2,No,28000,9.3,1.195236,1.408764,No,Married,2,9,0,0,1,0,5,Own,Domestic,15700,29,Yes,Yes,AMEX,26,8,2677.1,Yes,59,42.75,805.8,No,0,0,Yes,No,0,0,Yes,No,Yes,3,No,Yes,No,Yes,No,21,Yes,No,Yes,No,No
0712-WQXYVV-HUP,4,1,Male,61,14,Labor,No,18,Yes,12000,21.5,0.56502,2.01498,No,Unmarried,1,0,0,0,0,1,3,Own,Domestic,5800,25,Yes,No,AMEX,24,10,2450.3,No,61,25.05,476.95,Yes,29.1,1790.8,Yes,No,0,0,No,No,No,3,No,Yes,No,No,No,13,Yes,No,Yes,No,No
6441-FJUWZQ-7G8,3,4,Male,37,11,Professional,Yes,2,No,29000,15.7,3.319137,1.233863,Yes,Unmarried,1,0,0,0,0,0,0,-1,-1,-1000,29,No,No,Othe,12,17,5566.1,Yes,39,39.3,504.45,Yes,43.5,1663.95,Yes,Yes,31.5,1199.2,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,21,Yes,Yes,Yes,No,Yes
7634-AVNEXZ-7AG,1,3,Male,39,12,Professional,No,5,No,130000,11.3,4.68611,10.00389,No,Married,4,5,0,0,0,1,2,Own,Domestic,49200,32,Yes,Yes,Disc,2,12,4537.4,No,6,4.5,11.15,No,0,0,Yes,No,0,0,No,No,No,Yes,Yes,No,Yes,Yes,No,32,Yes,Yes,No,No,No
2041-PNMGHX-TXJ,4,3,Female,73,14,Service,No,28,Yes,69000,14.8,1.164168,9.047832,No,Married,2,0,0,0,0,0,1,Own,Foreign,22800,27,No,No,Visa,32,6,2126.7,No,62,76.35,1565.6,Yes,47.15,2874.15,Yes,Yes,53.2,3245.6,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes
4626-BQZAUJ-V9K,5,4,Female,26,16,Sales,No,0,No,24000,11.7,1.297296,1.510704,Yes,Married,6,1,0,1,0,0,4,Lease,Domestic,9800,27,Yes,No,Disc,8,14,4476.7,Yes,26,17.4,149.4,Yes,27.05,728.55,Yes,No,0,0,Yes,No,No,4,No,No,No,No,Yes,17,Yes,Yes,Yes,Yes,No
2969-ODPCDX-5DC,2,1,Female,24,17,Labor,No,1,No,29000,14,1.39258,2.66742,Yes,Unmarried,1,12,0,1,0,1,0,-1,-1,-1000,14,No,Yes,Disc,5,11,2799.5,Yes,11,11.85,42.4,Yes,19.65,172.75,No,No,0,0,No,No,No,No,No,No,No,No,No,13,No,Yes,Yes,No,No
4974-FUBHDF-Z7L,3,1,Female,77,15,Professional,No,26,Yes,11000,10.2,0.255816,0.866184,No,Unmarried,1,2,0,2,0,1,2,Own,Domestic,3100,21,Yes,No,Visa,39,10,1949.5,Yes,72,268.35,6495.7,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,Yes,No,No,No,23,No,No,No,No,Yes
2525-OSULNV-0KS,5,3,Male,36,19,Professional,Yes,3,No,30000,15.5,0.41385,4.23615,No,Unmarried,1,7,0,0,0,1,3,Own,Domestic,13100,24,Yes,Yes,AMEX,10,11,3009.7,No,37,20.1,233.85,No,0,0,No,No,0,0,No,No,No,2,No,No,No,No,No,15,Yes,Yes,Yes,No,No
4973-FHPBZQ-AAA,3,5,Male,55,14,Service,No,23,No,80000,6.5,0.0312,5.1688,No,Unmarried,1,9,2,0,0,1,4,Own,Domestic,35000,25,No,No,Visa,21,11,3940.2,No,47,36.75,524.4,No,0,0,Yes,No,0,0,No,No,No,No,No,No,Yes,Yes,No,25,Yes,No,Yes,No,Yes
4726-RQKGNB-WAK,2,2,Female,60,18,Professional,No,13,No,51000,7.8,1.209312,2.768688,No,Married,2,2,2,0,0,0,2,Own,Domestic,25200,26,Yes,No,Disc,38,9,1124.7,Yes,71,109.05,2586.85,Yes,55.15,4064.25,Yes,Yes,55.8,3819.5,Yes,Yes,Yes,4,No,No,Yes,No,Yes,20,Yes,Yes,Yes,Yes,Yes
6592-QBSENI-6Y4,1,1,Female,59,8,Sales,Yes,4,No,30000,2.8,0.26292,0.57708,No,Married,4,1,0,1,0,0,0,-1,-1,-1000,15,Yes,No,Visa,2,11,3421.7,No,3,16.5,19.35,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No
5538-DRGHIE-PF0,1,1,Male,28,11,,Yes,1,No,17000,8.2,0.150552,1.243448,Yes,Married,6,1,1,0,0,0,3,Own,Domestic,8200,23,Yes,Yes,Mast,7,10,3811.4,Yes,16,23.55,116.3,No,0,0,No,No,0,0,No,No,No,No,No,No,Yes,No,No,30,No,No,Yes,No,No
3550-PQUPPM-42T,3,3,Male,53,20,Sales,No,11,No,141000,9.9,9.589833,4.369167,No,Married,3,1,0,1,0,1,0,-1,-1,-1000,23,Yes,Yes,Disc,13,11,4459,No,36,10.2,122,Yes,49.25,1693.6,Yes,Yes,61.25,2209.2,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No
9809-NBCXAS-1RB,4,5,Male,36,12,Sales,No,5,No,45000,8.3,0.88893,2.84607,Yes,Unmarried,2,3,0,0,3,0,3,Own,Domestic,21200,26,Yes,Yes,Disc,13,13,4611.5,No,38,20.25,244.7,Yes,27.4,1123.6,No,No,0,0,Yes,No,No,3,No,No,No,No,Yes,29,Yes,Yes,Yes,No,No
8733-EDAXNE-8DV,3,1,Male,47,20,Crafts,No,17,No,137000,13.7,3.303344,15.465656,No,Married,2,2,2,0,0,1,1,Own,Foreign,78100,21,No,Yes,AMEX,29,8,4161.2,No,69,66.15,1473.3,Yes,44.85,2973,Yes,Yes,36.45,2475.25,Yes,Yes,Yes,3,No,Yes,No,No,Yes,22,Yes,Yes,Yes,No,Yes
8170-YHWTSQ-825,5,2,Male,75,11,Sales,No,2,Yes,10000,2.4,0.03888,0.20112,No,Unmarried,1,1,1,0,0,0,1,Own,Domestic,4900,24,No,No,Disc,23,17,1972.7,No,46,59.4,884.75,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,Yes
1144-GVCZDP-8DV,2,3,Female,49,22,Professional,Yes,3,No,73000,9.2,1.437224,5.278776,No,Married,5,13,2,0,0,1,1,Own,Foreign,33900,19,No,Yes,Disc,13,4,782.2,Yes,31,21,238,Yes,57.25,1740.25,No,Yes,62.3,1879.25,Yes,Yes,Yes,4,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No
8846-JJEGFU-I69,1,1,Female,59,13,Professional,No,15,No,63000,6,0.59346,3.18654,No,Unmarried,1,0,0,0,0,0,1,Own,Domestic,36200,16,Yes,No,Disc,13,9,2835.9,No,41,39,479,No,0,0,Yes,Yes,19.35,764.35,No,No,No,2,Yes,Yes,Yes,Yes,No,13,Yes,Yes,Yes,Yes,No
4226-TEHKPJ-GKG,1,2,Female,55,12,Service,No,10,No,50000,5.1,1.0863,1.4637,No,Married,3,0,0,0,0,1,2,Own,Domestic,31800,21,Yes,No,AMEX,22,11,5011.1,No,49,27.9,465.5,No,0,0,Yes,No,0,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,Yes
9714-LCYJJB-SCS,5,2,Male,25,14,Professional,No,1,No,50000,10.5,1.218,4.032,Yes,Unmarried,5,1,0,1,0,0,0,-1,-1,-1000,15,No,Yes,Disc,7,11,3919.7,Yes,46,43.35,659.35,Yes,29.75,1319.5,Yes,No,0,0,Yes,Yes,No,2,No,No,No,No,No,22,Yes,No,Yes,No,Yes
2866-TTOTKL-TA7,5,4,Male,78,11,Service,No,30,Yes,28000,9.8,1.635424,1.108576,No,Married,2,9,0,0,0,0,2,Own,Domestic,15800,34,No,Yes,Visa,14,5,1637.2,No,31,15,133.35,No,0,0,Yes,No,0,0,No,No,No,No,No,No,No,No,No,20,No,No,No,No,Yes
7217-UECHSF-PCR,1,1,Female,48,11,Sales,No,2,No,23000,18.7,2.051577,2.249423,Yes,Unmarried,2,9,0,0,0,1,2,Own,Domestic,9300,23,No,No,Othe,11,11,2680.9,Yes,23,19.5,169.8,No,0,0,Yes,Yes,19.7,387.9,No,No,No,Yes,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No
0197-AMEAYR-851,5,1,Male,47,19,Sales,No,1,No,75000,2.2,0.1023,1.5477,No,Married,2,6,0,0,0,0,1,Own,Foreign,46100,22,No,Yes,AMEX,15,14,3336.8,No,21,18.45,141.25,Yes,26.35,516.3,Yes,No,0,0,No,No,No,No,No,No,No,No,Yes,19,Yes,Yes,No,No,No
1743-WAHPKT-DNW,5,1,Male,75,10,Sales,No,11,No,28000,3.3,0.394548,0.529452,No,Married,2,0,0,0,0,1,1,Own,Domestic,13800,20,Yes,No,AMEX,3,10,4535.2,No,16,12.9,75,No,0,0,No,No,0,0,No,No,No,No,No,Yes,No,No,No,12,No,No,No,No,No
9840-VEWFQZ-W5V,3,1,Female,43,19,Sales,No,4,No,33000,12.6,2.116422,2.041578,No,Married,2,5,0,0,0,1,1,Own,Foreign,17200,22,Yes,Yes,Disc,9,14,2724.4,Yes,27,19.95,201.55,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,18,No,No,Yes,No,No
6203-JLXPIJ-YQZ,5,5,Male,45,10,Labor,No,15,No,44000,13.6,0.98736,4.99664,No,Married,5,1,1,0,0,1,1,Own,Foreign,30900,39,Yes,No,Mast,27,9,2837.2,Yes,62,48.45,1016.85,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,13,No,No,No,No,No
4166-WEDNXN-5RK,5,4,Male,21,16,Service,No,0,No,31000,9.2,0.77004,2.08196,Yes,Unmarried,1,6,1,0,0,0,2,Own,Domestic,16000,25,No,Yes,Disc,3,9,1965.6,Yes,13,14.25,47.55,No,0,0,No,No,0,0,No,No,No,Yes,No,No,No,No,No,17,Yes,No,Yes,No,No
4643-WSLHBV-DM5,2,1,Male,53,21,Service,No,19,No,284000,9.4,15.456984,11.239016,Yes,Unmarried,1,2,0,0,2,1,2,Own,Domestic,92400,29,Yes,Yes,Disc,30,12,10103.4,No,48,40.05,661.55,No,0,0,Yes,Yes,57.05,2716.6,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,13,Yes,Yes,Yes,Yes,Yes
1441-JNZRPW-8KQ,3,3,Female,30,13,Labor,No,8,No,49000,2.1,0.193452,0.835548,No,Unmarried,1,2,2,0,0,1,3,Own,Domestic,28800,34,No,Yes,Visa,2,12,2215.6,No,3,12.15,11.15,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,Yes,18,No,Yes,Yes,No,No
5811-BKUTYY-F7I,2,1,Female,58,19,Labor,No,18,Yes,15000,7.6,0.08436,1.05564,No,Unmarried,1,4,0,0,0,0,1,Own,Foreign,9200,20,No,Yes,Mast,19,4,650.8,No,42,49.65,710.95,No,0,0,Yes,No,0,0,No,No,No,2,No,Yes,No,Yes,No,16,Yes,Yes,No,No,No
0926-OZQUQX-GXA,2,2,Male,35,11,Professional,Yes,5,No,17000,2.3,0.254932,0.136068,Yes,Married,4,4,0,0,0,1,1,Own,Foreign,11400,24,No,No,Disc,17,12,1921.9,Yes,48,38.7,555.75,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,Yes,No,No,26,Yes,No,No,No,Yes
5007-HXEVVL-NW5,3,2,Female,48,14,Professional,No,14,No,83000,11.3,4.820806,4.558194,No,Married,2,7,0,1,0,1,1,Own,Foreign,36000,26,Yes,No,Disc,12,8,2204.6,Yes,37,16.8,221.2,Yes,49.85,1886.7,Yes,Yes,50,1710.15,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,No
8101-YOBRYX-REF,3,3,Female,57,15,,No,8,No,82000,34.2,1.12176,26.92224,Yes,Unmarried,1,0,0,0,0,1,4,Own,Foreign,53200,18,No,No,Mast,9,12,3718.1,Yes,18,17.25,107.95,No,0,0,No,Yes,21,351.7,No,Yes,No,2,Yes,No,No,Yes,No,12,Yes,Yes,Yes,No,No
8267-UTARFV-TZK,4,1,Female,61,20,Service,No,11,No,62000,2.3,0.537602,0.888398,No,Married,4,2,0,2,0,1,0,-1,-1,-1000,23,No,Yes,AMEX,12,10,4158,Yes,30,16.8,174.05,No,0,0,Yes,No,0,0,No,No,No,No,No,Yes,Yes,Yes,Yes,18,No,Yes,No,No,No
4432-KMTQXO-788,5,4,Female,56,19,Professional,No,6,No,138000,7,4.47258,5.18742,No,Married,2,0,0,0,0,0,5,Own,Domestic,67800,19,No,Yes,Disc,35,10,6938,Yes,66,66.15,1442.05,Yes,48.05,3054.8,Yes,Yes,60.5,4054.25,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,14,Yes,Yes,Yes,Yes,Yes
9172-WITHKP-BXZ,2,1,Female,29,17,Sales,No,1,No,35000,5.7,1.079295,0.915705,No,Married,2,0,0,0,0,0,3,Lease,Foreign,16800,20,No,Yes,Mast,11,15,3630,Yes,57,51.15,934,No,0,0,Yes,Yes,43.15,2437.2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes
1114-UELZXT-QT7,4,1,Female,68,11,Agriculture,No,36,Yes,35000,12.2,0.74298,3.52702,No,Married,2,0,0,0,0,0,2,Own,Domestic,13900,19,Yes,No,AMEX,30,4,1455.9,No,64,53.1,1114,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,21,No,No,No,Yes,Yes
0992-DNDKIT-CUP,5,3,Male,22,16,Labor,No,0,No,20000,5.2,0.27976,0.76024,Yes,Married,4,3,3,0,0,0,0,-1,-1,-1000,19,Yes,Yes,Disc,4,16,4823,Yes,29,21.6,220.9,Yes,21.4,559.85,No,No,0,0,No,No,No,4,No,No,No,No,Yes,18,Yes,Yes,Yes,No,No
2654-JRLXAI-HC7,2,1,Female,46,10,Professional,No,5,No,25000,7.7,0.4774,1.4476,No,Unmarried,1,6,0,0,0,0,2,Own,Domestic,13400,26,Yes,Yes,Visa,16,7,1389.5,No,31,27.6,322.5,No,0,0,No,No,0,0,No,No,No,No,Yes,No,Yes,No,No,20,No,No,No,No,Yes
0405-BACHZT-AYK,4,1,Male,24,17,Professional,No,0,No,33000,3.9,0.428571,0.858429,No,Married,3,1,1,0,0,1,2,Own,Foreign,16800,30,No,No,Disc,6,12,1885.2,No,5,17.85,38.25,Yes,41.85,163.4,No,Yes,25.4,89.6,No,Yes,No,4,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No
4939-KCMADL-HLM,3,2,Female,78,16,Sales,No,18,Yes,32000,23.1,3.171168,4.220832,No,Married,2,9,0,0,0,0,1,Lease,Domestic,14800,22,No,No,Visa,19,11,1762,No,39,20.25,234.75,No,0,0,Yes,Yes,32.2,1224.05,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,20,Yes,No,No,Yes,No
4724-UVMKNV-Z1I,2,2,Male,73,10,Professional,No,31,Yes,16000,3,0.29856,0.18144,No,Married,4,5,0,0,0,0,2,Lease,Domestic,7000,19,No,No,AMEX,33,11,3037.3,No,66,57.3,1231.75,No,0,0,Yes,No,0,0,No,No,No,No,No,No,No,No,No,33,No,No,No,No,Yes
4231-HZEXGK-HRI,4,3,Female,26,20,Professional,No,0,No,64000,3.9,0.391872,2.104128,Yes,Unmarried,1,2,1,1,0,0,2,Own,Domestic,27300,33,Yes,No,Disc,3,14,4107.8,Yes,8,6.15,15.45,No,0,0,No,No,0,0,No,No,No,Yes,No,No,No,No,No,19,Yes,No,No,No,No
4979-WSWKYV-BSV,2,1,Female,44,15,Service,No,7,No,31000,14.8,2.105892,2.482108,No,Unmarried,1,12,0,0,0,0,3,Own,Foreign,13500,21,No,Yes,AMEX,21,9,4204.8,No,52,36.75,629.55,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,Yes,No,24,Yes,No,No,No,No
7245-IUATZR-VLV,5,1,Male,30,12,Sales,No,1,No,18000,14.5,0.79866,1.81134,No,Married,4,0,0,0,0,0,5,Own,Domestic,10200,21,No,Yes,Visa,12,10,2635.5,Yes,27,9.6,86.3,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,21,No,No,No,No,Yes
2041-WAUPOH-84L,1,4,Male,44,8,Sales,No,9,No,41000,3.1,0.151249,1.119751,No,Unmarried,1,0,0,0,0,0,2,Own,Domestic,16400,32,No,Yes,Visa,9,10,3211.9,No,14,17.1,75.95,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,20,Yes,No,Yes,No,No
5472-GUGMBS-ZVK,3,2,Female,21,12,Service,Yes,1,No,22000,2.7,0.275616,0.318384,Yes,Married,2,0,0,0,0,1,3,Own,Domestic,11500,29,No,Yes,Othe,3,16,4610.3,Yes,6,13.65,26.35,No,0,0,No,No,0,0,Yes,No,No,No,No,No,No,Yes,No,17,Yes,No,No,No,No
1811-FUILIP-L3S,3,1,Female,62,9,Crafts,Yes,31,Yes,14000,15,0.5754,1.5246,No,Married,2,3,0,1,0,1,3,Lease,Foreign,5100,18,No,No,Visa,37,7,797.5,No,70,125.25,2817.05,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,No,Yes,Yes,No,16,No,No,No,No,Yes
2687-GRSYRT-YRW,4,3,Male,33,14,Sales,Yes,4,No,82000,6.9,3.745596,1.912404,No,Married,2,5,0,0,0,1,2,Lease,Foreign,58400,30,No,Yes,AMEX,8,9,3281.9,No,21,13.35,81.7,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,Yes,15,Yes,No,Yes,No,Yes
9184-ABVZGX-Z4V,2,1,Male,65,17,Sales,Yes,7,No,91000,0.3,0.094731,0.178269,No,Unmarried,1,0,0,0,0,1,1,Lease,Domestic,53900,17,Yes,Yes,AMEX,36,11,4517.3,Yes,68,66,1487.15,Yes,55.95,3887.2,Yes,Yes,84.85,5602.9,Yes,Yes,Yes,4,Yes,No,No,No,Yes,17,Yes,No,Yes,Yes,Yes
9891-ZXATIA-55Z,3,2,Male,38,16,Labor,No,10,No,74000,4.7,0.699078,2.778922,No,Married,2,0,0,0,0,1,5,Own,Foreign,36500,27,Yes,Yes,AMEX,15,9,7489.5,Yes,36,42.3,521.9,No,0,0,No,No,0,0,No,No,No,No,Yes,No,No,No,No,18,No,Yes,No,No,No
