CustomerID,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,HomeOwner,CarsOwned,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardSpendMonth
4166-WEDNXN-5RK,Male,21,16,Service,No,0,No,31000,9.2,0.77004,2.08196,Yes,Unmarried,1,6,0,2,25,No,Yes,Disc,3,1965.6
4643-WSLHBV-DM5,Male,53,21,Service,No,19,No,284000,9.4,15.456984,11.239016,Yes,Unmarried,1,2,1,2,29,Yes,Yes,Disc,30,10103.4
1441-JNZRPW-8KQ,Female,30,13,Labor,No,8,No,49000,2.1,0.193452,0.835548,No,Unmarried,1,2,1,3,34,No,Yes,Visa,2,2215.6
5811-BKUTYY-F7I,Female,58,19,Labor,No,18,Yes,15000,7.6,0.08436,1.05564,No,Unmarried,1,4,0,1,20,No,Yes,Mast,19,650.8
0926-OZQUQX-GXA,Male,35,11,Professional,Yes,5,No,17000,2.3,0.254932,0.136068,Yes,Married,4,4,1,1,24,No,No,Disc,17,1921.9
5007-HXEVVL-NW5,Female,48,14,Professional,No,14,No,83000,11.3,4.820806,4.558194,No,Married,2,7,1,1,26,Yes,No,Disc,12,2204.6
8267-UTARFV-TZK,Female,61,20,Service,No,11,No,62000,2.3,0.537602,0.888398,No,Married,4,2,1,0,23,No,Yes,AMEX,12,4158
4432-KMTQXO-788,Female,56,19,Professional,No,6,No,138000,7,4.47258,5.18742,No,Married,2,0,0,5,19,No,Yes,Disc,35,6938
9172-WITHKP-BXZ,Female,29,17,Sales,No,1,No,35000,5.7,1.079295,0.915705,No,Married,2,0,0,3,20,No,Yes,Mast,11,3630
1114-UELZXT-QT7,Female,68,11,Agriculture,No,36,Yes,35000,12.2,0.74298,3.52702,No,Married,2,0,0,2,19,Yes,No,AMEX,30,1455.9
0992-DNDKIT-CUP,Male,22,16,Labor,No,0,No,20000,5.2,0.27976,0.76024,Yes,Married,4,3,0,0,19,Yes,Yes,Disc,4,4823
2654-JRLXAI-HC7,Female,46,10,Professional,No,5,No,25000,7.7,0.4774,1.4476,No,Unmarried,1,6,0,2,26,Yes,Yes,Visa,16,1389.5
0405-BACHZT-AYK,Male,24,17,Professional,No,0,No,33000,3.9,0.428571,0.858429,No,Married,3,1,1,2,30,No,No,Disc,6,1885.2
4939-KCMADL-HLM,Female,78,16,Sales,No,18,Yes,32000,23.1,3.171168,4.220832,No,Married,2,9,0,1,22,No,No,Visa,19,1762
4724-UVMKNV-Z1I,Male,73,10,Professional,No,31,Yes,16000,3,0.29856,0.18144,No,Married,4,5,0,2,19,No,No,AMEX,33,3037.3
4231-HZEXGK-HRI,Female,26,20,Professional,No,0,No,64000,3.9,0.391872,2.104128,Yes,Unmarried,1,2,0,2,33,Yes,No,Disc,3,4107.8
4979-WSWKYV-BSV,Female,44,15,Service,No,7,No,31000,14.8,2.105892,2.482108,No,Unmarried,1,12,0,3,21,No,Yes,AMEX,21,4204.8
7245-IUATZR-VLV,Male,30,12,Sales,No,1,No,18000,14.5,0.79866,1.81134,No,Married,4,0,0,5,21,No,Yes,Visa,12,2635.5
2041-WAUPOH-84L,Male,44,8,Sales,No,9,No,41000,3.1,0.151249,1.119751,No,Unmarried,1,0,0,2,32,No,Yes,Visa,9,3211.9
5472-GUGMBS-ZVK,Female,21,12,Service,Yes,1,No,22000,2.7,0.275616,0.318384,Yes,Married,2,0,1,3,29,No,Yes,Othe,3,4610.3
1811-FUILIP-L3S,Female,62,9,Crafts,Yes,31,Yes,14000,15,0.5754,1.5246,No,Married,2,3,1,3,18,No,No,Visa,37,797.5
2687-GRSYRT-YRW,Male,33,14,Sales,Yes,4,No,82000,6.9,3.745596,1.912404,No,Married,2,5,1,2,30,No,Yes,AMEX,8,3281.9
9184-ABVZGX-Z4V,Male,65,17,Sales,Yes,7,No,91000,0.3,0.094731,0.178269,No,Unmarried,1,0,1,1,17,Yes,Yes,AMEX,36,4517.3
9891-ZXATIA-55Z,Male,38,16,Labor,No,10,No,74000,4.7,0.699078,2.778922,No,Married,2,0,1,5,27,Yes,Yes,AMEX,15,7489.5
6246-WBWHHS-GFB,Female,34,15,Sales,No,3,No,46000,2.1,0.358386,0.607614,No,Unmarried,2,2,1,3,28,No,Yes,AMEX,14,1416.3
2212-AOYDMW-0ZV,Male,78,20,Professional,Yes,13,Yes,14000,8.2,0.307664,0.840336,No,Married,2,4,1,2,25,No,No,Disc,39,2428.1
8268-VLELYK-IJK,Female,47,10,Service,No,17,No,68000,22,5.40056,9.55944,Yes,Unmarried,1,0,1,4,26,No,No,Visa,16,5288.1
6023-TINSQC-7T4,Female,60,19,Labor,No,22,No,101000,7.2,1.498032,5.773968,No,Married,2,2,0,2,30,Yes,Yes,AMEX,12,12608.3
2332-AAKERL-PNS,Female,61,17,Professional,No,7,No,121000,9.1,4.085081,6.925919,No,Married,2,5,1,2,28,Yes,Yes,Visa,31,2963.3
8888-ERPHEF-H3V,Female,77,11,Service,No,23,Yes,19000,15.3,0.866286,2.040714,No,Unmarried,1,8,0,2,30,No,Yes,Mast,13,914
0213-HSPXOI-LYR,Female,21,16,Crafts,No,0,No,30000,13.5,1.22715,2.82285,Yes,Married,4,0,1,2,31,No,Yes,Disc,4,5459.2
9095-NXHCNI-HXG,Female,31,19,Professional,No,1,No,43000,2.1,0.706146,0.196854,Yes,Unmarried,3,4,0,3,37,No,No,Disc,1,3089.6
4115-RQKQTM-RXB,Male,74,11,Professional,No,26,Yes,18000,1.4,0.054432,0.197568,No,Unmarried,1,7,0,7,32,Yes,No,Othe,23,2416.7
4730-MCQYEE-7XQ,Female,27,20,Sales,No,0,No,42000,16.4,1.370712,5.517288,No,Married,4,2,0,2,27,No,Yes,Disc,9,3884.4
4048-TDAQGT-9Y6,Male,64,10,Labor,No,36,No,327000,11.7,15.533154,22.725846,No,Married,2,0,0,2,23,No,Yes,AMEX,40,7848.1
4336-AZJUON-KO0,Male,72,18,Professional,No,9,No,30000,6.9,0.17595,1.89405,No,Married,2,3,1,2,20,No,Yes,Visa,13,887.8
5495-XNMJLP-GBP,Male,66,16,Professional,No,21,Yes,96000,15.6,8.326656,6.649344,No,Married,2,0,1,2,31,No,Yes,Visa,38,4206.3
9844-JTMVSQ-J5G,Male,55,16,Crafts,No,29,No,143000,10.9,9.66394,5.92306,No,Unmarried,1,0,1,5,23,No,Yes,AMEX,37,9955
6960-IEHYJM-SCB,Female,20,15,Sales,No,0,No,25000,6.8,0.9061,0.7939,Yes,Unmarried,1,0,0,2,32,No,No,Disc,2,993.4
2566-HGSGRK-ROU,Male,59,18,Sales,No,7,No,68000,6.5,2.14812,2.27188,No,Unmarried,1,0,0,3,18,No,No,Disc,20,6026.7
7164-HJCLUK-29N,Female,69,8,Professional,Yes,16,No,78000,12.7,6.68655,3.21945,No,Married,2,2,0,0,23,No,Yes,Disc,40,3649.4
5052-NKTQMH-BKA,Female,43,13,Sales,No,2,No,38000,6.5,0.45448,2.01552,No,Unmarried,1,0,1,3,24,No,No,Mast,9,1312.1
0309-KOSUPM-CSV,Male,32,14,Professional,No,5,No,65000,14.1,4.133415,5.031585,Yes,Unmarried,1,1,1,2,27,No,Yes,Mast,7,3523.5
8514-TCRHWV-DPM,Male,78,10,Crafts,No,28,Yes,17000,20.8,0.625872,2.910128,No,Unmarried,1,0,0,2,25,Yes,No,Visa,8,2700.4
7441-RFDNVF-7SP,Male,64,15,Professional,No,11,No,62000,17.5,0.42315,10.42685,No,Married,2,0,1,3,25,Yes,Yes,AMEX,39,5054.5
1150-ESKSKG-FRM,Male,75,11,Sales,No,11,Yes,11000,8,0.22616,0.65384,No,Unmarried,1,0,0,1,29,No,No,Visa,14,3346.8
7196-SOFWOP-3K6,Male,74,19,Professional,Yes,20,Yes,108000,9.3,4.549932,5.494068,No,Married,2,5,1,1,27,No,Yes,Disc,35,6840.9
9083-WGKZAH-8XR,Female,20,15,Sales,No,0,No,19000,7.6,0.280136,1.163864,Yes,Unmarried,1,4,1,2,24,No,Yes,Disc,1,1331.4
8552-ZQJYEJ-BW1,Male,65,15,Sales,No,6,Yes,26000,11.1,0.70707,2.17893,No,Unmarried,1,7,1,1,26,Yes,No,Visa,37,2765.6
3686-HKVHPL-GU6,Female,66,16,Sales,No,3,No,21000,21.2,1.709568,2.742432,Yes,Unmarried,1,0,1,0,25,No,No,Othe,28,2703
4923-DBKSJV-D3H,Female,45,19,Service,No,10,No,82000,7,1.90568,3.83432,No,Married,2,0,0,2,19,No,Yes,Visa,8,4505.5
4588-ODXEGS-UGY,Female,44,13,Crafts,Yes,13,No,60000,12.5,2.2125,5.2875,No,Married,2,3,1,2,12,Yes,Yes,Mast,26,4015.3
2689-VYLAYC-OSJ,Female,59,11,Labor,Yes,21,No,100000,5.9,1.8644,4.0356,No,Unmarried,1,6,1,3,21,No,Yes,Visa,30,2967.7
1086-IKBULJ-52W,Female,38,15,Professional,No,8,No,81000,10.9,4.32621,4.50279,No,Married,2,0,1,1,28,Yes,No,Disc,1,5691.7
3149-SOXJIB-AZ6,Male,65,13,Service,Yes,9,No,34000,17.3,2.517496,3.364504,No,Unmarried,1,1,0,3,20,No,No,AMEX,17,12027.4
0198-MUHWOZ-918,Female,26,15,Sales,No,1,No,23000,10.3,0.61594,1.75306,Yes,Unmarried,1,5,0,2,19,Yes,No,Mast,5,3796.1
4487-UIOHOC-Y6X,Male,70,16,Professional,No,11,No,107000,14.1,1.191873,13.895127,No,Unmarried,1,3,0,1,30,No,No,Othe,25,1895.9
3319-BOOXCD-PSQ,Female,65,18,Professional,No,17,No,66000,6.9,2.609442,1.944558,No,Married,2,0,1,3,36,No,Yes,Disc,25,2351.7
3630-CTGBIF-YIX,Female,61,9,Professional,Yes,31,No,107000,3.6,1.88748,1.96452,No,Unmarried,3,4,0,2,27,No,No,AMEX,29,6242.2
2594-FSOPWS-H02,Male,63,13,Sales,No,3,No,69000,3.5,1.335495,1.079505,No,Unmarried,1,1,1,4,22,Yes,Yes,Disc,19,6711.3
3335-MFSNGA-J31,Female,70,11,Service,No,29,No,224000,2.6,1.36864,4.45536,No,Unmarried,1,2,1,0,19,Yes,No,AMEX,37,7028.2
3239-YTOCDY-213,Male,64,22,Labor,No,21,Yes,28000,8.1,1.295028,0.972972,No,Married,2,1,1,3,28,Yes,Yes,Disc,34,3516.5
1226-OKZENG-YMZ,Female,56,14,Sales,No,3,No,31000,0.9,0.175491,0.103509,No,Married,2,1,1,4,16,No,Yes,Disc,14,2902.8
1946-CHZAKX-7PK,Male,43,14,Sales,Yes,1,No,32000,10.1,1.22816,2.00384,Yes,Married,2,0,0,2,20,Yes,Yes,Disc,15,4532
1587-LHMXIB-2NP,Male,53,10,Agriculture,No,29,No,82000,4.8,0.842304,3.093696,No,Unmarried,1,0,1,2,29,No,Yes,Mast,25,3467
8916-LWSVNK-W0Q,Female,36,12,Crafts,No,8,No,54000,9.6,0.762048,4.421952,No,Married,2,1,1,2,24,No,No,Mast,3,2712.1
3755-JZHSNC-YVQ,Female,52,9,Crafts,No,19,No,42000,3,0.47628,0.78372,No,Married,2,1,0,2,22,No,Yes,Visa,34,2022.3
6055-WFKEYT-97B,Male,44,17,Labor,No,13,No,58000,7.5,0.90045,3.44955,No,Unmarried,1,0,0,3,29,No,No,Visa,7,2637.3
4898-VWAWIL-UWT,Female,48,13,Professional,No,3,No,73000,4.6,1.722654,1.635346,No,Unmarried,1,4,0,1,24,Yes,No,Mast,28,1192.3
0161-ZGCKJD-1M2,Male,60,19,Professional,No,6,No,36000,14.1,1.258848,3.817152,No,Unmarried,1,4,0,4,30,No,Yes,Visa,1,5013.4
3330-YCHJNM-YA1,Female,67,19,Sales,Yes,3,No,51000,6.7,1.189116,2.227884,No,Unmarried,1,0,1,3,23,No,No,Visa,30,2112.9
0481-RFVYIH-H7J,Male,77,15,Agriculture,No,28,Yes,27000,6.2,0.297972,1.376028,No,Married,2,0,1,1,29,Yes,Yes,Visa,38,2780.1
9830-UFEBRB-WOE,Male,72,9,Agriculture,No,34,Yes,36000,10.5,0.87696,2.90304,No,Unmarried,1,1,1,0,33,Yes,Yes,Visa,14,1146.7
3912-EDPWEY-1ZP,Female,44,19,Sales,No,1,No,59000,5.9,0.981642,2.499358,No,Unmarried,1,6,1,0,26,No,No,Mast,21,1221.6
4629-OUAIRK-MZH,Male,75,17,Service,No,35,Yes,41000,14,2.39358,3.34642,No,Married,2,3,1,2,22,No,Yes,Disc,25,3337.1
9024-QQZDBM-RN4,Male,78,14,Professional,No,18,No,59000,3.4,0.529584,1.476416,No,Unmarried,1,1,1,1,25,Yes,No,Visa,38,3470.7
1608-DQBMUD-AB8,Male,55,21,Professional,No,11,No,128000,20.5,2.28288,23.95712,No,Unmarried,1,0,1,2,19,Yes,Yes,Visa,36,2331.6
4284-HHTPTO-Q5J,Male,29,16,Service,No,4,No,54000,9.6,1.202688,3.981312,No,Married,4,5,1,1,16,Yes,No,Disc,11,3761.9
6828-JEJYIH-3EI,Female,43,8,Professional,Yes,8,No,44000,10.6,1.944888,2.719112,No,Unmarried,1,8,1,1,27,Yes,Yes,Mast,7,2474.9
9723-VUGZBJ-ZQA,Male,18,13,Service,No,0,No,15000,10.9,0.51666,1.11834,Yes,Unmarried,1,0,0,3,30,No,Yes,Visa,1,563.2
8520-MLQCDY-K1Y,Male,28,16,Professional,No,0,No,17000,2.2,0.129778,0.244222,No,Unmarried,2,0,0,1,27,Yes,Yes,Mast,10,1524.7
6088-TDDVGT-XO0,Male,70,16,Crafts,No,33,Yes,59000,2.1,0.056994,1.182006,No,Unmarried,1,10,0,2,22,No,No,Visa,29,8817.5
8775-VURAWW-OS0,Male,43,14,Service,No,6,No,57000,14.3,4.442295,3.708705,Yes,Unmarried,1,0,0,3,18,No,Yes,Mast,12,7253.5
9852-FJWQJI-KV7,Male,56,12,Sales,Yes,4,No,29000,7.2,0.780912,1.307088,No,Unmarried,3,2,1,1,25,No,Yes,Visa,5,2688.7
5645-BCARMI-G7Z,Male,66,16,Labor,Yes,18,Yes,12000,12.7,1.12776,0.39624,No,Unmarried,1,11,0,2,31,No,Yes,Visa,17,2218.9
7414-PZJWWB-D1D,Male,73,18,Crafts,No,25,Yes,9000,19.7,0.684378,1.088622,No,Unmarried,1,6,0,4,21,No,No,Disc,25,1257
2578-QQXNBH-3G2,Male,26,13,Crafts,Yes,6,No,85000,8.2,2.66951,4.30049,Yes,Married,4,6,1,2,17,No,Yes,Visa,2,3123.7
9334-IUMUSE-FAI,Male,54,10,Sales,No,3,No,25000,6.8,0.7106,0.9894,No,Unmarried,2,8,1,2,21,Yes,No,Mast,2,5546.4
1866-UGNVHM-6F1,Female,39,12,Labor,No,12,No,48000,18.5,1.40304,7.47696,Yes,Married,3,3,1,2,29,No,No,Mast,21,1626.4
6170-RWXBEX-2CR,Male,24,18,Sales,No,0,No,29000,7.2,0.457272,1.630728,No,Married,4,0,0,2,29,Yes,Yes,Disc,6,3929.6
2447-WXAAQB-6K7,Female,26,17,Sales,No,0,No,64000,3.7,1.091648,1.276352,No,Married,5,7,1,2,19,No,Yes,Visa,8,2360
2583-FMHHBW-E5N,Female,19,14,Labor,No,0,No,13000,12.4,0.357864,1.254136,No,Unmarried,2,7,0,2,21,Yes,Yes,Visa,1,1823.4
5097-JIRHCW-CFG,Male,60,12,Service,No,21,No,131000,5.3,3.145179,3.797821,No,Married,3,7,1,2,16,No,Yes,Disc,22,3501.1
2979-LZXION-EKF,Male,24,16,Sales,No,0,No,10000,6.1,0.31903,0.29097,Yes,Unmarried,1,8,1,1,14,No,No,Visa,4,1630.3
5802-HZRLCD-BHF,Female,31,11,Agriculture,No,6,No,27000,0.6,0.070146,0.091854,No,Married,2,7,0,2,18,Yes,Yes,Visa,13,3810.6
7444-WJWKGZ-67A,Female,61,14,Service,No,11,Yes,11000,41.7,1.366926,3.220074,No,Unmarried,1,8,0,2,23,Yes,No,AMEX,11,1763.9
2688-GYVWQM-JSK,Male,24,18,Crafts,No,0,No,51000,6.4,1.132608,2.131392,Yes,Unmarried,1,11,1,0,27,No,Yes,Mast,6,4201.7
4435-FBUZVB-AES,Female,66,17,Professional,No,12,No,57000,12.8,3.224832,4.071168,No,Unmarried,1,2,0,1,22,Yes,Yes,AMEX,17,4040.2
9819-KBLSEK-N7M,Male,50,12,Service,No,13,No,54000,9,0.85536,4.00464,No,Unmarried,1,5,0,1,35,No,No,Visa,22,5176.3
7451-DHDPCJ-ZXU,Female,64,16,Agriculture,No,22,No,98000,13.1,5.302094,7.535906,No,Married,2,0,1,3,26,No,Yes,Disc,25,3744.6
6973-VFXJPS-W71,Female,46,18,Sales,No,2,No,28000,20.7,1.10124,4.69476,Yes,Unmarried,3,10,1,1,22,No,Yes,Disc,27,988.7
0286-ZUKLWW-UD1,Female,29,19,Professional,No,1,No,69000,5.9,1.237584,2.833416,Yes,Married,5,0,1,1,39,Yes,Yes,Mast,11,8133
9082-FIBGZG-W7E,Male,69,9,Professional,Yes,30,No,149000,0.7,0.162708,0.880292,No,Married,2,2,1,1,24,No,Yes,Visa,35,1624.9
2007-BEDDYV-62E,Female,60,11,Professional,No,22,No,155000,8.7,2.090175,11.394825,No,Married,4,5,1,2,16,Yes,Yes,Mast,29,8861.1
2076-HXNRRT-59Y,Male,50,20,Sales,No,2,No,49000,15.6,1.94922,5.69478,Yes,Unmarried,1,0,0,3,28,Yes,Yes,Disc,3,4327.6
4238-LORPCR-80R,Male,73,12,Crafts,No,26,Yes,17000,13.8,0.783564,1.562436,No,Unmarried,1,2,1,1,23,No,No,Disc,40,796.5
8724-ZFSGUO-JYL,Male,68,12,Sales,No,7,No,31000,15.3,2.08692,2.65608,No,Unmarried,1,2,0,1,30,Yes,Yes,Mast,14,2902.8
2581-PFMMKD-4C6,Male,57,17,Professional,No,9,No,39000,20.5,1.95078,6.04422,No,Married,5,1,1,3,30,No,Yes,Disc,34,3295.2
6877-RTHCJH-M7A,Male,29,19,Professional,No,1,No,156000,1.1,0.12012,1.59588,No,Unmarried,3,5,0,1,31,Yes,Yes,Mast,11,1562.4
1191-EGQJHO-ZJQ,Female,63,15,Sales,No,9,Yes,17000,6.4,0.343808,0.744192,No,Married,2,9,1,3,22,No,No,Visa,17,86.5
6237-IDDHKI-H17,Male,49,17,Sales,No,5,No,60000,8.4,1.20456,3.83544,Yes,Married,3,0,1,1,26,No,No,Disc,16,2375.2
5085-RQHHUP-L2U,Female,51,12,Professional,No,8,No,122000,13.6,5.375808,11.216192,Yes,Married,2,9,1,4,37,No,Yes,Mast,12,2114.7
8446-TMJWQX-AK5,Male,51,12,Professional,No,8,No,43000,4.1,0.446039,1.316961,No,Married,2,0,1,4,27,No,No,Visa,31,2196.5
1476-ZJSUZO-GSO,Female,53,16,Service,No,14,No,142000,13.6,3.340976,15.971024,No,Unmarried,1,5,0,2,25,No,No,Visa,7,4727.1
9469-FWPWKV-HJY,Male,75,15,Crafts,No,31,Yes,123000,1.1,0.420783,0.932217,No,Married,2,0,1,2,29,No,Yes,Disc,35,1227.1
8791-ICWRCS-WUD,Female,30,10,Crafts,No,9,No,32000,0.9,0.042624,0.245376,No,Married,5,0,1,4,25,No,Yes,Mast,6,715.7
2441-WRRBMV-9VV,Female,65,8,Labor,No,33,Yes,14000,7.3,0.154322,0.867678,No,Unmarried,1,4,0,2,30,Yes,No,Visa,3,779.4
0815-FGMWDH-Y8D,Female,35,18,Sales,No,2,No,17000,8,0.23256,1.12744,No,Married,3,1,0,3,35,No,No,Mast,11,2428.9
6991-FJSWKW-ADG,Female,58,14,Sales,No,10,No,58000,11.4,1.811688,4.800312,No,Married,2,1,1,3,31,No,No,Mast,29,3809.6
